CITY;TOTAL
Lucianopolis;0,0
Luis Antonio;2762,0
Luiziania;637,0
Lupercio;38,0
Lutecia;836,0
Macatuba;4063,0
Macaubal;448,0
Macedonia;247,0
Magda;974,0
Mairinque;14182,0
Mairipora;14548,0
Manduri;2598,0
Maraba Paulista;1576,0
Maracai;2334,0
Mariapolis;668,0
Marilia;12103,0
Martinopolis;1074,0
Matao;8932,0
Mendonca;522,0
Meridiano;1487,0
Microregion of Caraguatatuba;9975,0
Miguelopolis;1084,0
Mineiros do Tiete;682,0
Miracatu;4179,0
Mirandopolis;3900,0
Mirante do Paranapanema;2914,0
Mirassol;18396,0
Mirassolandia;1592,0
Mococa;12035,0
Mogi Guacu;16760,0
Mogi Mirim;15747,0
Mogi das Cruzes;12836,0
Mombuca;3557,0
MoncoEs;226,0
Mongagua;5688,0
Monte Alto;6173,0
Monte Aprazivel;6563,0
Monte Azul Paulista;3247,0
Monte Castelo;173,0
Monte Mor;13535,0
Monteiro Lobato;8333,0
Morro Agudo;5335,0
Morungaba;4034,0
Motuca;1135,0
Municipio de Aracariguama;9844,0
Murutinga do Sul;1538,0
Nantes;407,0
Narandiba;53,0
Natividade da Serra;10585,0
Nazare Paulista;8206,0
Neves Paulista;3558,0
Nhandeara;2845,0
Nipoa;1140,0
Nova Campina;2139,0
Nova Canaa Paulista;896,0
Nova Castilho;1239,0
Nova Europa;1257,0
Nova Granada;2869,0
Nova Independencia;557,0
Novo Horizonte;4770,0
Nuporanga;1947,0
Ocaucu;1227,0
Oleo;1119,0
Olimpia;8043,0
Onda Verde;1314,0
Oriente;5124,0
Orindiuva;2645,0
Orlandia;6975,0
Oscar Bressane;62,0
Osvaldo Cruz;0,0
Ouro Verde;2192,0
Pacaembu;4079,0
Palestina;1350,0
Palmares Paulista;2952,0
Palmeira D'Oeste;610,0
Palmital;2384,0
Panorama;524,0
Paraguacu Paulista;9734,0
Paraibuna;6143,0
Paranapanema;3678,0
Paranapua;682,0
Parapua;4917,0
Pardinho;1534,0
Pariquera-Acu;6,0
Parisi;2070,0
Patrocinio Paulista;1142,0
Pauliceia;671,0
Paulinia;11653,0
Paulistania;108,0
Paulo de Faria;1142,0
Pederneiras;12835,0
Pedra Bela;6665,0
Pedranopolis;759,0
Pedregulho;2900,0
Pedreira;2850,0
Pedrinhas Paulista;742,0
Pedro de Toledo;2942,0
Penapolis;3777,0
Pereira Barreto;2973,0
Pereiras;1618,0
Peruibe;6167,0
Piacatu;1353,0
Piedade;5786,0
Pilar do Sul;4231,0
Pindamonhangaba;19959,0
Pindorama;2733,0
Pinhalzinho;6080,0
Piquerobi;533,0
Piquete;2583,0
Piracaia;4008,0
Piracicaba;36069,0
Piraju;2257,0
Pirajui;2157,0
Pirangi;4558,0
Pirapozinho;662,0
Pirassununga;8710,0
Piratininga;7285,0
Pitangueiras;4502,0
Planalto;420,0
Platina;250,0
Poloni;1623,0
Pompeia;3506,0
Pongai;60,0
Pontal;6438,0
Pontalinda;538,0
Pontes Gestal;1606,0
Porangaba;3081,0
Porto Feliz;8117,0
Porto Ferreira;4916,0
Potirendaba;3208,0
Pradopolis;3410,0
Praia Grande;7379,0
Pratania;530,0
Presidente Alves;762,0
Presidente Bernardes;6236,0
Presidente Epitacio;1017,0
Presidente Prudente;8778,0
Presidente Venceslau;2422,0
Promissao;8731,0
Quadra;1096,0
Quata;771,0
Queiroz;0,0
Queluz;2267,0
Quintana;755,0
Rancharia;2393,0
Redencao da Serra;941,0
Regente Feijo;212,0
Reginopolis;2094,0
Registro;2792,0
Restinga;3722,0
Ribeira;341,0
Ribeirao Bonito;2148,0
Ribeirao Branco;257,0
Ribeirao Grande;717,0
Ribeirao Pires;5137,0
Ribeirao Preto;16053,0
Ribeirao do Sul;988,0
Ribeirao dos Indios;214,0
Rifaina;930,0
Rincao;1552,0
Rinopolis;1159,0
Rio Claro;22539,0
Rio das Pedras;7770,0
Riolandia;100,0
Riversul;555,0
Rubiacea;145,0
Rubineia;2157,0
Sabino;1000,0
Sagres;476,0
Sales;207,0
Sales Oliveira;2045,0
Salesopolis;563,0
Salto;8036,0
Salto Grande;5255,0
Salto de Pirapora;7784,0
Sandovalina;2060,0
Santa Adelia;1704,0
Santa Barbara d'Oeste;10727,0
Santa Branca;784,0
Santa Clara d'Oeste;296,0
Santa Cruz da Conceicao;4528,0
Santa Cruz das Palmeiras;326,0
Santa Cruz do Rio Pardo;6763,0
Santa Ernestina;1267,0
Santa Fe do Sul;1554,0
Santa Gertrudes;7229,0
Santa Isabel;10945,0
Santa Lucia;1459,0
Santa Maria da Serra;2289,0
Santa Mercedes;1677,0
Santa Rita D'Oeste;821,0
Santa Rita do Passa Quatro;9516,0
Santa Rosa de Viterbo;164,0
Santana da Ponte Pensa;1350,0
Santana de Parnaiba;12389,0
Santo Anastacio;3216,0
Santo Antonio da Alegria;1889,0
Santo Antonio de Posse;2070,0
Santo Antonio do Aracangua;4319,0
Santo Antonio do Jardim;1778,0
Santo Antonio do Pinhal;1498,0
Santopolis do Aguapei;149,0
Santos;10781,0
Sao Bento do Sapucai;6037,0
Sao Bernardo do Campo;27340,0
Sao Carlos;13955,0
Sao Francisco;710,0
Sao Joao da Boa Vista;8205,0
Sao Joao das Duas Pontes;409,0
Sao Joao de Iracema;76,0
Sao Joao do Pau D'Alho;667,0
Sao Joaquim da Barra;6359,0
Sao Jose da Bela Vista;2568,0
Sao Jose do Barreiro;1014,0
Sao Jose do Rio Pardo;3472,0
Sao Jose do Rio Preto;5704,0
Sao Jose dos Campos;36765,0
Sao Lourenco da Serra;6982,0
Sao Luis do Paraitinga;1197,0
Sao Luiz do Paraitinga;56,0
Sao Manuel;12340,0
Sao Miguel Arcanjo;2058,0
Sao Paulo;114735,0
Sao Pedro;11303,0
Sao Pedro do Turvo;392,0
Sao Roque;10567,0
Sao Sebastiao;3119,0
Sao Sebastiao da Grama;4009,0
Sao Simao;4913,0
Sao Vicente;7975,0
Sarapui;2648,0
Sarutaia;194,0
Sebastianopolis do Sul;505,0
Serra Azul;2791,0
Serra Negra;7352,0
Serrana;2889,0
Sertaozinho;17259,0
Sete Barras;5096,0
Silveiras;0,0
Socorro;5701,0
Sorocaba;35451,0
Sud Mennucci;1282,0
Sumare;22052,0
Suzanapolis;755,0
Suzano;10563,0
Tabapua;1219,0
Tabatinga;2626,0
Taciba;682,0
Taiacu;2150,0
Taiuva;1539,0
Tambau;560,0
Tanabi;5872,0
Tapirai;119,0
Tapiratiba;1581,0
Taquaritinga;10222,0
Taquarituba;2412,0
Taquarivai;845,0
Tarabai;1299,0
Taruma;4824,0
Tatui;10663,0
Taubate;13181,0
Tejupa;150,0
Teodoro Sampaio;2344,0
Terra Roxa;1834,0
Tiete;9496,0
Timburi;707,0
Torrinha;673,0
Tupa;2099,0
Tupi Paulista;3115,0
Turmalina;361,0
Ubarana;1371,0
Ubatuba;3461,0
Ubirajara;259,0
Uchoa;5255,0
Uniao Paulista;458,0
Urania;4016,0
Uru;1291,0
Urupes;2792,0
Valentim Gentil;4126,0
Valinhos;10264,0
Valparaiso;3013,0
Vargem;2062,0
Vargem Grande Paulista;6480,0
Vargem Grande do Sul;966,0
Viradouro;201,0
Vista Alegre do Alto;1765,0
Vitoria Brasil;1443,0
Votuporanga;356,0
Zacarias;2072,0
