CITY;PRICES;PER CAPITA
Guararapes;585798;19143,73
Guararema;1137113;43970,17
Guaratinguetá;2877329;25669,58
Guareí;145612;9995,35
Guariba;629917;17748,64
Guarujá;4486324;15437,77
Guarulhos;36796447;30102,86
Guatapará;136019;19526,17
Guzolândia;43414;9132,18
Herculândia;117387;13498,96
Holambra;411885;36475,85
Hortolândia;8907167;46337,19
Iacanga;235188;23495,26
Iacri;90868;14156,02
Iaras;76490;11994,63
Ibaté;431256;14036,45
Ibirá;114883;10570,79
Ibirarema;138255;20558,36
Ibitinga;784529;14756,21
Ibiúna;788084;11064,25
Icém;114936;15402,84
Iepê;109995;14421,75
Igaraçu do Tietê;182197;7796,19
Igarapava;613390;21938,14
Igaratá;97725;11073,60
Iguape;256876;8905,69
Ilha Comprida;88632;9818,59
Ilha Solteira;320260;12774,11
Ilhabela;376015;13345,22
Indaiatuba;7624896;37775,43
Indiana;39519;8185,39
Indiaporã;47657;12200,89
Inúbia Paulista;76986;21208,23
Ipaussu;236091;17175,23
Iperó;318005;11236,53
Ipeúna;197468;32823,78
Ipiguá;49087;11008,53
Iporanga;23553;5474,89
Ipuã;210044;14848,32
Iracemápolis;392612;19584,59
Irapuã;71355;9796,11
Irapuru;65737;8441,94
Itaberá;204855;11469,39
Itaí;314802;13108,55
Itajobi;240652;16536,22
Itaju;46704;14313,34
Itanhaém;845813;9716,07
Itaóca;18863;5843,68
Itapecerica da Serra;2847785;18688,70
Itapetininga;2510806;17385,93
Itapeva;1150393;13107,65
Itapevi;5718598;28468,58
Itapira;1902593;27829,93
Itapirapuã Paulista;19662;5062,40
Itápolis;919872;22960,07
Itaporanga;114448;7868,04
Itapuí;343491;28198,93
Itapura;56121;12871,76
Itaquaquecetuba;3301661;10258,26
Itararé;488302;10185,91
Itariri;111467;7204,93
Itatiba;3381243;33329,15
Itatinga;180034;9973,08
Itirapina;355885;22918,92
Itirapuã;44276;7486,71
Itobi;53755;7124,58
Itu;4415164;28632,71
Itupeva;2330251;51985,52
Ituverava;613717;15858,74
Jaborandi;101748;15435,13
Jaboticabal;1577099;22005,92
Jacareí;6646574;31454,43
Jaci;231507;40923,97
Jacupiranga;273295;15892,94
Jaguariúna;4774198;107694,34
Jales;722371;15365,68
Jambeiro;201034;37576,47
Jandira;2177168;20077,91
Jardinópolis;523306;13871,60
Jarinu;573103;24052,67
Jaú;2351803;17943,38
Jeriquara;44609;14081,07
Joanópolis;100285;8519,65
João Ramalho;84858;20507,05
José Bonifácio;686164;20936,23
Júlio Mesquita;30157;6807,52
Jumirim;42398;15136,91
Jundiaí;23855396;64430,33
Junqueirópolis;343497;18343,32
Juquiá;213109;11059,71
Juquitiba;303587;10566,15
Lagoinha;39944;8252,99
Laranjal Paulista;559864;22176,33
Lavínia;97080;11054,41
Lavrinhas;78149;11865,88
Leme;1645110;17919,81
Lençóis Paulista;1592844;25919,29
Limeira;7431037;26923,07
Lindóia;69294;10330,00
Lins;2314613;32375,37
Lorena;1336862;16193,98
Lourdes;28255;13309,07
Louveira;7437541;200186,83
Lucélia;264315;13292,20
Lucianópolis;23462;10404,46
Luís Antônio;788118;69831,45
Luiziânia;39417;7836,46
Lupércio;36857;8467,14
Lutécia;43694;16165,03
Macatuba;349568;21517,15
Macaubal;97266;12692,95
Macedônia;51978;14186,06
Magda;47983;14994,59
Mairinque;1168680;27037,13
Mairiporã;1134607;14021,34
Manduri;71684;7965,82
Marabá Paulista;92840;19293,40
Maracaí;318393;23860,39
Marapoama;70937;26941,50
Mariápolis;42036;10734,32
Marília;4399401;20303,30
Marinópolis;20324;9618,47
Martinópolis;256756;10583,51
Matão;2126847;27693,69
Mauá;9491250;22745,46
Mendonça;115787;24954,16
Meridiano;100243;26030,50
Mesópolis;48944;25951,42
Miguelópolis;360026;17612,09
Mineiros do Tietê;99826;8289,81
Mira Estrela;28116;9945,66
Miracatu;389150;18895,36
Mirandópolis;327318;11913,29
Mirante do Paranapanema;180167;10558,32
Mirassol;1006962;18713,63
Mirassolândia;50214;11691,18
Mococa;1124902;16966,09
Mogi das Cruzes;9454019;24413,79
Mogi Guaçu;3568767;25995,13
