Itapetininga;324,08
Itapeva;245,66
Itapevi;207,18
Itapira;359,83
Itapirapuã Paulista;122,88
Itápolis;303,43
Itaporanga;181,72
Itapuí;263,34
Itapura;167,04
Itaquaquecetuba;193,01
Itararé;225,56
Itariri;239,88
Itatiba;430,40
Itatinga;219,04
Itirapina;322,70
Itirapuã;219,67
Itobi;223,79
Itu;421,15
Itupeva;390,78
Ituverava;367,41
Jaborandi;213,06
Jaboticabal;391,26
Jacareí;353,95
Jaci;260,55
Jacupiranga;267,27
Jaguariúna;398,13
Jales;331,22
Jambeiro;286,57
Jandira;290,48
Jardinópolis;323,88
Jarinu;313,98
Jaú;401,56
Jeriquara;210,06
Joanópolis;276,79
João Ramalho;210,01
José Bonifácio;339,84
Júlio Mesquita;203,87
Jumirim;282,18
Jundiaí;549,96
Junqueirópolis;244,49
Juquiá;228,66
Juquitiba;210,65
Lagoinha;186,65
Laranjal Paulista;353,14
Lavínia;234,78
Lavrinhas;189,05
Leme;316,81
Lençóis Paulista;349,86
Limeira;369,12
Lindóia;362,82
Lins;421,94
Lorena;329,13
Lourdes;199,43
Louveira;341,25
Lucélia;260,10
Lucianópolis;192,66
Luís Antônio;286,33
Luiziânia;207,84
Lupércio;189,40
Lutécia;212,92
Macatuba;243,35
Macaubal;268,15
Macedônia;214,67
Magda;264,57
Mairinque;288,93
Mairiporã;427,35
Manduri;247,51
Marabá Paulista;174,48
Maracaí;234,12
Marapoama;220,21
Mariápolis;185,16
Marília;421,22
Marinópolis;190,09
Martinópolis;233,45
Matão;316,65
Mauá;274,82
Mendonça;258,15
Meridiano;203,99
Mesópolis;180,12
Miguelópolis;272,99
Mineiros do Tietê;291,50
Miracatu;208,49
Mira Estrela;214,09
Mirandópolis;276,42
Mirante do Paranapanema;195,49
Mirassol;334,33
Mirassolândia;196,80
Mococa;305,33
Moji das Cruzes;386,11
Mogi Guaçu;353,33
Moji-Mirim;419,89
Mombuca;235,40
Monções;218,99
Mongaguá;306,98
Monte Alegre do Sul;345,97
Monte Alto;353,70
Monte Aprazível;326,88
Monte Azul Paulista;329,53
Monte Castelo;208,34
Monteiro Lobato;282,03
Monte Mor;258,31
Morro Agudo;288,68
Morungaba;337,53
Motuca;230,04
Murutinga do Sul;228,55
Nantes;197,58
Narandiba;182,00
Natividade da Serra;176,02
Nazaré Paulista;210,60
Neves Paulista;313,60
Nhandeara;313,35
Nipoã;226,75
Nova Aliança;259,73
Nova Campina;158,83
Nova Canaã Paulista;174,45
Nova Castilho;171,03
Nova Europa;272,09
Nova Granada;252,55
Nova Guataporanga;184,35
Nova Independência;175,36
Novais;182,89
Nova Luzitânia;217,54
Nova Odessa;341,40
Novo Horizonte;299,46
Nuporanga;298,67
Ocauçu;237,03
Óleo;209,00
Olímpia;352,56
Onda Verde;234,51
Oriente;251,93
Orindiúva;282,84
Orlândia;344,11
Osasco;390,45
Oscar Bressane;249,44
Osvaldo Cruz;320,40
Ourinhos;339,41
