;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Bady Bassitt;   228 833;    15668,16;   237 623;    16014,50;   244 938;    16258,76;   258 052;    16279,87;;;;;
Balbinos;   17 578;    4470,44;   22 539;    5800,13;   22 989;    5658,14;   33 460;    7548,00;;;;;
Bálsamo;   107 931;    13226,79;   127 922;    15556,58;   142 636;    17218,29;   148 462;    17201,04;;;;;
Bananal;   119 524;    11695,13;   124 542;    12135,02;   146 540;    14225,77;   147 697;    13829,29;;;;;
Barão de Antonina;   35 558;    11411,30;   42 935;    13669,33;   46 841;    14799,74;   54 272;    16460,89;;;;;
Barbosa;   62 942;    9546,72;   71 706;    10779,66;   80 972;    12071,02;   91 137;    13023,24;;;;;
Bariri;   626 661;    19829,15;   779 056;    24458,61;   803 881;    25041,46;   833 772;    24914,02;;;;;
Barra Bonita;   847 546;    24039,78;  1 040 372;    29532,54;   991 866;    28170,01;  1 044 725;    28772,37;;;;;
Barra do Chapéu;   25 720;    4912,10;   35 764;    6779,91;   34 097;    6427,29;   46 109;    8362,22;;;;;
Barra do Turvo;   52 389;    6778,26;   58 743;    7628,97;   62 304;    8120,90;   68 528;    8698,61;;;;;
Barretos;  2 467 443;    22010,70;  2 707 141;    24014,38;  3 089 894;    27262,65;  3 347 125;    28418,69;;;;;
Barrinha;   251 917;    8838,26;   286 389;    9935,09;   322 561;    11067,84;   366 719;    12021,21;;;;;
Barueri;  31 893 775;   1 32528,48;  35 818 250;   1 47253,56;  41 347 716;   1 68318,25;  44 118 662;   1 71831,09;;;;;
Bastos;   468 213;    22883,19;   468 114;    22907,48;   580 445;    28419,76;   695 311;    33014,13;;;;;
Batatais;   995 189;    17619,88;  1 111 595;    19540,06;  1 231 515;    21497,67;  1 386 157;    23236,62;;;;;
Bauru;  7 921 603;    23025,31;  8 784 550;    25383,22;  9 391 618;    26976,09;  10 491 175;    28976,18;;;;;
Bebedouro;  1 518 490;    20234,66;  1 859 481;    24775,90;  2 119 148;    28229,34;  2 331 611;    30090,36;;;;;
Bento de Abreu;   105 019;    39274,11;   109 968;    40789,30;   114 695;    42213,72;   99 641;    35196,47;;;;;
Bernardino de Campos;   112 428;    10432,26;   125 427;    11635,14;   146 600;    13594,21;   166 281;    14935,85;;;;;
Bertioga;  1 104 269;    23212,59;  1 599 214;    32639,02;  1 331 985;    26478,71;  1 519 278;    28303,03;;;;;
Bilac;   95 126;    13489,28;   103 665;    14555,62;   123 993;    17238,07;   138 198;    18379,83;;;;;
Birigui;  1 777 931;    16353,00;  2 077 736;    18916,71;  2 319 762;    20916,28;  2 584 674;    22301,28;;;;;
Biritiba-Mirim;   322 579;    11289,64;   372 202;    12889,21;   403 356;    13828,73;   569 093;    18663,68;;;;;
Boa Esperança do Sul;   118 163;    8651,54;   201 244;    14659,39;   230 655;    16705,65;   209 393;    14585,71;;;;;
Bocaina;   217 934;    20063,87;   286 676;    26137,49;   326 326;    29470,45;   342 640;    29619,61;;;;;
Bofete;   112 996;    12173,62;   136 928;    13983,69;   140 331;    14089,42;   167 009;    15899,58;;;;;
Boituva;  1 738 503;    35976,73;  2 102 009;    42563,71;  2 484 878;    49283,58;  2 494 395;    46684,41;;;;;
Bom Jesus dos Perdões;   242 019;    12283,38;   303 991;    15049,79;   351 585;    17006,13;   439 638;    20005,35;;;;;
Bom Sucesso de Itararé;   35 173;    9849,64;   43 765;    12163,61;   44 065;    12162,62;   50 577;    13408,41;;;;;
Borá;   60 752;    75468,70;   44 515;    55229,51;   72 393;    89706,55;   68 976;    82705,08;;;;;
Boracéia;   100 436;    23532,27;   123 695;    28706,29;   124 981;    28744,48;   138 569;    30521,77;;;;;
Borborema;   208 171;    14325,00;   230 404;    15746,57;   249 751;    16954,10;   274 819;    17921,02;;;;;
Borebi;   37 201;    16209,79;   49 781;    21448,26;   44 882;    19114,78;   43 426;    17667,10;;;;;
Botucatu;  2 971 328;    23328,32;  3 257 795;    25295,60;  3 420 171;    26268,39;  3 789 754;    27810,83;;;;;
Bragança Paulista;  3 156 171;    21519,88;  3 633 984;    24485,95;  3 995 639;    26633,51;  4 312 883;    27471,47;;;;;
Braúna;   52 152;    10386,76;   55 257;    10898,86;   62 320;    12176,69;   69 487;    13000,44;;;;;
Brejo Alegre;   132 887;    51646,54;   115 101;    44371,87;   130 917;    50082,86;   180 056;    66123,98;;;;;
Brodowski;   273 376;    12953,14;   334 014;    15599,40;   374 358;    17245,96;   441 221;    19354,36;;;;;
Brotas;   397 062;    18399,54;   467 805;    21471,74;   484 488;    22035,20;   527 251;    22964,88;;;;;
Buri;   213 610;    11505,44;   241 715;    12971,03;   227 841;    12180,73;   285 300;    14710,00;;;;;
Buritama;   263 262;    17074,97;   281 263;    18100,47;   305 607;    19521,35;   342 694;    21008,73;;;;;
Buritizal;   119 253;    29408,94;   194 262;    47578,20;   208 161;    50635,23;   251 011;    58661,06;;;;;
Cabrália Paulista;   97 581;    22355,26;   96 962;    22326,12;   95 298;    22049,42;   80 730;    18223,38;;;;;
Cabreúva;  1 457 833;    35007,89;  2 282 528;    54015,39;  3 070 532;    71592,54;  3 595 664;    79705,27;;;;;
Caçapava;  2 662 690;    31383,36;  3 010 409;    35244,92;  3 191 563;    37087,91;  3 393 999;    37850,73;;;;;
Cachoeira Paulista;   313 551;    10417,31;   352 822;    11639,29;   403 879;    13230,23;   465 340;    14637,47;;;;;
Caconde;   155 337;    8380,27;   158 387;    8537,90;   246 019;    13253,22;   199 549;    10543,65;;;;;
Cafelândia;   254 228;    15303,87;   273 190;    16388,14;   203 999;    12193,58;   320 580;    18481,49;;;;;
Caiabu;   53 132;    13048,19;   45 737;    11232,08;   45 123;    11081,31;   48 325;    11503,12;;;;;
Caieiras;  2 131 999;    24612,39;  2 184 299;    24905,35;  2 570 586;    28934,68;  2 815 657;    30206,05;;;;;
Caiuá;   55 528;    11019,64;   57 518;    11266,97;   64 847;    12550,20;   64 707;    11943,04;;;;;
Cajamar;  6 028 464;    94028,73;  6 948 784;   1 06676,25;  7 958 431;   1 20343,42;  8 728 427;   1 25437,27;;;;;
Cajati;   831 701;    29315,17;   917 780;    32422,36;   981 435;    34749,69;   945 802;    32547,64;;;;;
Cajobi;   92 084;    9435,81;   100 594;    10250,00;   96 610;    9800,16;   113 108;    11054,34;;;;;
Cajuru;   303 709;    12991,23;   318 903;    13529,46;   398 796;    16782,21;   444 123;    17920,46;;;;;
Campina do Monte Alegre;   80 098;    14388,02;   99 925;    17859,69;   85 940;    15286,36;   97 321;    16675,99;;;;;
Campinas;  36 616 377;    33872,72;  42 680 951;    39142,97;  46 657 727;    42469,01;  51 347 711;    44850,57;;;;;
Campo Limpo Paulista;  1 195 990;    16137,17;  1 397 733;    18669,05;  1 453 808;    19220,86;  1 521 943;    19242,93;;;;;
Campos do Jordão;   675 442;    14123,49;   754 509;    15698,99;   807 029;    16700,39;   909 456;    18109,08;;;;;
Campos Novos Paulista;   80 512;    17737,86;   92 187;    20185,57;   97 811;    21291,04;   112 634;    23583,40;;;;;
Cananéia;   430 224;    35189,25;   841 656;    68869,68;   444 315;    36371,54;   450 418;    35753,16;;;;;
Canas;   52 897;    12057,61;   87 252;    19629,30;   106 240;    23598,42;   129 777;    27483,43;;;;;
Cândido Mota;   461 101;    15415,76;   535 032;    17875,50;   624 958;    20848,60;   727 828;    23483,63;;;;;
Cândido Rodrigues;   50 310;    18856,80;   50 456;    18876,26;   56 696;    21178,75;   65 151;    23545,83;;;;;
Canitar;   94 125;    21543,84;   116 705;    26296,75;   97 756;    21704,32;   105 008;    22167,71;;;;;
Capão Bonito;   481 775;    10433,01;   503 896;    10921,96;   503 969;    10933,26;   583 819;    12288,34;;;;;
Capela do Alto;   149 998;    8555,16;   173 975;    9782,11;   182 923;    10146,06;   244 976;    12939,09;;;;;
Capivari;  1 095 333;    22550,24;  1 309 057;    26649,10;  1 435 072;    28903,77;  1 527 993;    29413,32;;;;;
Caraguatatuba;  1 551 471;    15376,47;  1 772 871;    17292,42;  2 143 315;    20579,12;  2 422 613;    22088,41;;;;;
Carapicuíba;  3 043 092;    8226,62;  3 478 959;    9364,58;  3 862 928;    10346,45;  4 437 172;    11442,26;;;;;
Cardoso;   117 306;    9942,86;   125 813;    10643,18;   169 759;    14342,56;   151 460;    12381,29;;;;;
Casa Branca;   440 958;    15574,93;   507 751;    17864,09;   496 344;    17394,22;   526 025;    17772,90;;;;;
Cássia dos Coqueiros;   58 853;    22403,24;   65 199;    24923,35;   79 108;    30437,71;   84 338;    31741,82;;;;;
Castilho;   340 702;    18921,58;   386 176;    21174,23;   419 944;    22742,71;   454 025;    23451,69;;;;;
Catanduva;  2 388 189;    21163,82;  2 788 724;    24601,47;  3 050 428;    26787,98;  3 240 081;    27409,77;;;;;
Catiguá;   85 897;    12052,40;   85 459;    11917,34;   99 151;    13744,19;   108 429;    14453,40;;;;;
Cedral;   131 251;    16472,30;   167 788;    20791,61;   188 521;    23088,97;   238 343;    27866,55;;;;;
Cerqueira César;   280 183;    15981,21;   319 683;    18044,85;   383 566;    21436,67;   446 539;    23875,25;;;;;
Cerquilho;  1 179 767;    29755,27;  1 373 121;    33994,04;  1 428 374;    34716,46;  1 471 019;    33837,53;;;;;
Cesário Lange;   210 293;    13526,26;   229 777;    14594,58;   250 573;    15717,79;   272 322;    16290,13;;;;;
Charqueada;   264 788;    17551,88;   287 295;    18847,66;   235 380;    15289,36;   237 903;    14783,93;;;;;
