Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
354120;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,568;0,671;0,757
354130;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,531;0,665;0,75
354140;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,623;0,746;0,806
354150;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,542;0,701;0,763
354160;35;SP;Sudeste;3504;Bauru;35019;Lins;0,521;0,653;0,743
354165;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,394;0,567;0,678
354170;35;SP;Sudeste;3510;Assis;35039;Assis;0,474;0,653;0,738
354180;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,48;0,572;0,715
354190;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,448;0,615;0,722
354200;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,477;0,634;0,732
354210;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,516;0,648;0,745
354220;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,557;0,68;0,751
354230;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35053;Paraibuna/Paraitinga;0,402;0,552;0,657
354240;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,532;0,691;0,768
354250;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,488;0,64;0,728
354260;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,509;0,65;0,754
354270;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,439;0,62;0,705
354280;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,416;0,574;0,698
354290;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,485;0,645;0,712
354300;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,306;0,462;0,639
354310;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,441;0,572;0,711
354320;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,484;0,603;0,747
354323;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,478;0,612;0,721
354325;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,296;0,56;0,705
354330;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,58;0,718;0,784
354340;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,626;0,733;0,8
354350;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,405;0,555;0,664
354360;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,438;0,624;0,74
354370;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,501;0,634;0,734
354380;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,456;0,655;0,723
354390;35;SP;Sudeste;3506;Piracicaba;35026;Rio Claro;0,611;0,734;0,803
354400;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,507;0,664;0,759
354410;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,498;0,625;0,749
354420;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,487;0,602;0,703
354425;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,54;0,688;0,764
354430;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,485;0,642;0,737
354440;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,527;0,637;0,721
354450;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,524;0,677;0,759
354460;35;SP;Sudeste;3504;Bauru;35019;Lins;0,44;0,623;0,728
354470;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,439;0,601;0,73
354480;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35008;Novo Horizonte;0,476;0,647;0,751
