"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"111","SP",3509700,"Campos do Jord<U+00E3>o",15.524,11.062
"112","SP",3509809,"Campos Novos Paulista",37.986,29.176
"113","SP",3509908,"Canan<U+00E9>ia",48.618,33.298
"114","SP",3509957,"Canas",54.723,28.073
"115","SP",3510005,"C<U+00E2>ndido Mota",26.647,21.656
"116","SP",3510104,"C<U+00E2>ndido Rodrigues",14.816,15
"117","SP",3510153,"Canitar",49.335,25.781
"118","SP",3510203,"Cap<U+00E3>o Bonito",38.546,44.209
"119","SP",3510302,"Capela do Alto",26.378,26.718
"120","SP",3510401,"Capivari",9.004,11.349
"121","SP",3510500,"Caraguatatuba",21.397,18.195
"122","SP",3510609,"Carapicu<U+00ED>ba",10.264,17.103
"123","SP",3510708,"Cardoso",38.88,26.877
"124","SP",3510807,"Casa Branca",18.463,14.587
"125","SP",3510906,"C<U+00E1>ssia dos Coqueiros",39.366,21.834
"126","SP",3511003,"Castilho",33.716,33.701
"127","SP",3511102,"Catanduva",7.445,10.287
"128","SP",3511201,"Catigu<U+00E1>",12.325,13.037
"129","SP",3511300,"Cedral",24.242,14.597
"130","SP",3511409,"Cerqueira C<U+00E9>sar",25.213,17.671
"131","SP",3511508,"Cerquilho",7.644,6.988
"132","SP",3511607,"Ces<U+00E1>rio Lange",20.752,16.757
"133","SP",3511706,"Charqueada",11.304,11.893
"134","SP",3511904,"Clementina",25.348,18.246
"135","SP",3512001,"Colina",22.796,19.675
"136","SP",3512100,"Col<U+00F4>mbia",30.925,22.895
"137","SP",3512209,"Conchal",18.522,20.002
"138","SP",3512308,"Conchas",15.895,13.507
"139","SP",3512407,"Cordeir<U+00F3>polis",8.728,11.019
"140","SP",3512506,"Coroados",24.299,19.062
"141","SP",3512605,"Coronel Macedo",50.895,40.487
"142","SP",3512704,"Corumbata<U+00ED>",20.976,15.06
"143","SP",3512803,"Cosm<U+00F3>polis",9.435,16.69
"144","SP",3512902,"Cosmorama",42.271,22.286
"145","SP",3513009,"Cotia",12.111,15.895
"146","SP",3513108,"Cravinhos",16.206,11.461
"147","SP",3513207,"Cristais Paulista",32.034,15.749
"148","SP",3513306,"Cruz<U+00E1>lia",30.787,22.663
"149","SP",3513405,"Cruzeiro",26.533,17.557
"150","SP",3513504,"Cubat<U+00E3>o",16.295,17.514
"151","SP",3513603,"Cunha",57.424,46.658
