"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"481","SP",3542909,"Ribeir<U+00E3>o Bonito",16.702,18.95
"482","SP",3543006,"Ribeir<U+00E3>o Branco",71.148,59.332
"483","SP",3543105,"Ribeir<U+00E3>o Corrente",24.291,19.326
"484","SP",3543204,"Ribeir<U+00E3>o do Sul",36.59,24.241
"485","SP",3543238,"Ribeir<U+00E3>o dos <U+00CD>ndios",39.716,34.95
"486","SP",3543253,"Ribeir<U+00E3>o Grande",62.495,49.82
"487","SP",3543303,"Ribeir<U+00E3>o Pires",10.755,14.84
"488","SP",3543402,"Ribeir<U+00E3>o Preto",5.878,8.578
"489","SP",3543501,"Riversul",65.173,50.237
"490","SP",3543600,"Rifaina",31.425,16.12
"491","SP",3543709,"Rinc<U+00E3>o",13.803,20.467
"492","SP",3543808,"Rin<U+00F3>polis",51.409,24.892
"493","SP",3543907,"Rio Claro",8.415,8.267
"494","SP",3544004,"Rio das Pedras",8.842,13.488
"495","SP",3544103,"Rio Grande da Serra",18.247,23.983
"496","SP",3544202,"Riol<U+00E2>ndia",36.194,28.896
"497","SP",3544251,"Rosana",23.919,28.081
"498","SP",3544301,"Roseira",37.793,22.773
"499","SP",3544400,"Rubi<U+00E1>cea",31.964,21.879
"500","SP",3544509,"Rubin<U+00E9>ia",37.515,17.264
"501","SP",3544608,"Sabino",32.365,16.758
"502","SP",3544707,"Sagres",49.486,32.277
"503","SP",3544806,"Sales",37.824,20.565
"504","SP",3544905,"Sales Oliveira",14.486,11.215
"505","SP",3545001,"Sales<U+00F3>polis",28.672,24.456
"506","SP",3545100,"Salmour<U+00E3>o",45.077,22.456
"507","SP",3545159,"Saltinho",7.069,8.537
"508","SP",3545209,"Salto",13.195,11.503
"509","SP",3545308,"Salto de Pirapora",27.38,20.615
"510","SP",3545407,"Salto Grande",31.326,24.382
"511","SP",3545506,"Sandovalina",38.85,32.974
"512","SP",3545605,"Santa Ad<U+00E9>lia",12.168,10.912
"513","SP",3545704,"Santa Albertina",37.875,24.338
"514","SP",3545803,"Santa B<U+00E1>rbara d'Oeste",7.048,8.703
"515","SP",3546009,"Santa Branca",26.648,19.484
"516","SP",3546108,"Santa Clara d'Oeste",39.209,25.901
"517","SP",3546207,"Santa Cruz da Concei<U+00E7><U+00E3>o",15.124,11.294
"518","SP",3546256,"Santa Cruz da Esperan<U+00E7>a",20.658,22.003
"519","SP",3546306,"Santa Cruz das Palmeiras",11.918,14.217
"520","SP",3546405,"Santa Cruz do Rio Pardo",20.996,13.829
"521","SP",3546504,"Santa Ernestina",12.182,18.815
"522","SP",3546603,"Santa F<U+00E9> do Sul",17.494,14.99
"523","SP",3546702,"Santa Gertrudes",8.678,7.598
"524","SP",3546801,"Santa Isabel",23.465,20.987
"525","SP",3546900,"Santa L<U+00FA>cia",15.218,18.908
"526","SP",3547007,"Santa Maria da Serra",16.504,17.07
"527","SP",3547106,"Santa Mercedes",43.779,32.138
"528","SP",3547205,"Santana da Ponte Pensa",42.201,20.789
"529","SP",3547304,"Santana de Parna<U+00ED>ba",18.541,21.778
"530","SP",3547403,"Santa Rita d'Oeste",40.937,30.375
"531","SP",3547502,"Santa Rita do Passa Quatro",14.321,8.425
"532","SP",3547601,"Santa Rosa de Viterbo",12.097,17.717
"533","SP",3547650,"Santa Salete",41.986,24.669
"534","SP",3547700,"Santo Anast<U+00E1>cio",36.913,25.967
"535","SP",3547809,"Santo Andr<U+00E9>",6.689,10.338
"536","SP",3547908,"Santo Ant<U+00F4>nio da Alegria",39.563,18.432
"537","SP",3548005,"Santo Ant<U+00F4>nio de Posse",15.572,16.315
"538","SP",3548054,"Santo Ant<U+00F4>nio do Aracangu<U+00E1>",32.614,17.836
"539","SP",3548104,"Santo Ant<U+00F4>nio do Jardim",31.893,17.193
"540","SP",3548203,"Santo Ant<U+00F4>nio do Pinhal",36.681,22.41
"541","SP",3548302,"Santo Expedito",44.052,30.288
"542","SP",3548401,"Sant<U+00F3>polis do Aguape<U+00ED>",30.783,23.63
"543","SP",3548500,"Santos",5.158,5.84
"544","SP",3548609,"S<U+00E3>o Bento do Sapuca<U+00ED>",35.498,25.785
"545","SP",3548708,"S<U+00E3>o Bernardo do Campo",7.851,12.249
"546","SP",3548807,"S<U+00E3>o Caetano do Sul",4.79,2.892
"547","SP",3548906,"S<U+00E3>o Carlos",6.3,8.33
"548","SP",3549003,"S<U+00E3>o Francisco",46.322,27.631
"549","SP",3549102,"S<U+00E3>o Jo<U+00E3>o da Boa Vista",11.154,9.534
"550","SP",3549201,"S<U+00E3>o Jo<U+00E3>o das Duas Pontes",43.813,23.451
"551","SP",3549250,"S<U+00E3>o Jo<U+00E3>o de Iracema",37.717,29.658
"552","SP",3549300,"S<U+00E3>o Jo<U+00E3>o do Pau d'Alho",42.867,25.962
"553","SP",3549409,"S<U+00E3>o Joaquim da Barra",11.954,13.813
"554","SP",3549508,"S<U+00E3>o Jos<U+00E9> da Bela Vista",21.851,23.182
"555","SP",3549607,"S<U+00E3>o Jos<U+00E9> do Barreiro",42.766,38.522
"556","SP",3549706,"S<U+00E3>o Jos<U+00E9> do Rio Pardo",17.742,13.612
"557","SP",3549805,"S<U+00E3>o Jos<U+00E9> do Rio Preto",4.978,8.068
"558","SP",3549904,"S<U+00E3>o Jos<U+00E9> dos Campos",11.476,12.942
"559","SP",3549953,"S<U+00E3>o Louren<U+00E7>o da Serra",22.237,31.945
"560","SP",3550001,"S<U+00E3>o Lu<U+00ED>s do Paraitinga",43.355,28.735
"561","SP",3550100,"S<U+00E3>o Manuel",13.108,14.686
"562","SP",3550209,"S<U+00E3>o Miguel Arcanjo",38.426,30.046
"563","SP",3550308,"S<U+00E3>o Paulo",8.004,12.061
"564","SP",3550407,"S<U+00E3>o Pedro",16.992,12.739
"565","SP",3550506,"S<U+00E3>o Pedro do Turvo",42.644,32.109
"566","SP",3550605,"S<U+00E3>o Roque",19.378,16.768
"567","SP",3550704,"S<U+00E3>o Sebasti<U+00E3>o",14.088,15.099
"568","SP",3550803,"S<U+00E3>o Sebasti<U+00E3>o da Grama",30.456,20.632
"569","SP",3550902,"S<U+00E3>o Sim<U+00E3>o",15.191,17.076
"570","SP",3551009,"S<U+00E3>o Vicente",11.904,16.081
"571","SP",3551108,"Sarapu<U+00ED>",36.798,26.858
"572","SP",3551207,"Sarutai<U+00E1>",47.447,34.662
"573","SP",3551306,"Sebastian<U+00F3>polis do Sul",37.078,18.406
"574","SP",3551405,"Serra Azul",14.943,22.836
"575","SP",3551504,"Serrana",8.696,15.926
"576","SP",3551603,"Serra Negra",21.071,9.061
"577","SP",3551702,"Sert<U+00E3>ozinho",8.044,10.005
"578","SP",3551801,"Sete Barras",42.858,49.326
"579","SP",3551900,"Sever<U+00ED>nia",13.34,24.679
"580","SP",3552007,"Silveiras",59.071,37.253
"581","SP",3552106,"Socorro",20.646,14.747
"582","SP",3552205,"Sorocaba",10.149,10.578
"583","SP",3552304,"Sud Mennucci",26.633,18.067
"584","SP",3552403,"Sumar<U+00E9>",12.268,13.581
"585","SP",3552502,"Suzano",16.558,21.882
"586","SP",3552551,"Suzan<U+00E1>polis",36.578,29.32
"587","SP",3552601,"Tabapu<U+00E3>",16.594,15.203
"588","SP",3552700,"Tabatinga",18.16,18.503
"589","SP",3552809,"Tabo<U+00E3>o da Serra",9.175,14.438
"590","SP",3552908,"Taciba",33.938,25.536
"591","SP",3553005,"Tagua<U+00ED>",41.369,22.293
"592","SP",3553104,"Taia<U+00E7>u",16.679,19.986
"593","SP",3553203,"Tai<U+00FA>va",14.404,15.067
"594","SP",3553302,"Tamba<U+00FA>",20.686,15.735
"595","SP",3553401,"Tanabi",28.177,18.341
"596","SP",3553500,"Tapira<U+00ED>",32.701,33.409
"597","SP",3553609,"Tapiratiba",22.694,13.072
"598","SP",3553658,"Taquaral",15.841,18.466
"599","SP",3553708,"Taquaritinga",13.877,19.703
"600","SP",3553807,"Taquarituba",40.954,30.336
"601","SP",3553856,"Taquariva<U+00ED>",59.167,47.133
"602","SP",3553906,"Tarabai",34.542,31.184
"603","SP",3553955,"Tarum<U+00E3>",20.936,18.144
"604","SP",3554003,"Tatu<U+00ED>",14.236,14.063
"605","SP",3554102,"Taubat<U+00E9>",16.534,12.748
"606","SP",3554201,"Tejup<U+00E1>",58.361,38.532
"607","SP",3554300,"Teodoro Sampaio",37.289,39.156
"608","SP",3554409,"Terra Roxa",16.54,19.893
"609","SP",3554508,"Tiet<U+00EA>",9.641,8.36
"610","SP",3554607,"Timburi",54.956,26.593
"611","SP",3554656,"Torre de Pedra",38.822,26.483
"612","SP",3554706,"Torrinha",12.777,12.148
"613","SP",3554755,"Trabiju",21.848,22.019
"614","SP",3554805,"Trememb<U+00E9>",17.969,17.033
"615","SP",3554904,"Tr<U+00EA>s Fronteiras",38.297,20.772
"616","SP",3554953,"Tuiuti",31.468,16.562
"617","SP",3555000,"Tup<U+00E3>",21.412,14.811
"618","SP",3555109,"Tupi Paulista",29.62,17.327
"619","SP",3555208,"Turi<U+00FA>ba",21.371,16.17
"620","SP",3555307,"Turmalina",38.518,20.196
"621","SP",3555356,"Ubarana",24.101,21.846
"622","SP",3555406,"Ubatuba",21.312,20.742
"623","SP",3555505,"Ubirajara",41.109,27.843
"624","SP",3555604,"Uchoa",19.55,18.382
"625","SP",3555703,"Uni<U+00E3>o Paulista",37.336,22.171
"626","SP",3555802,"Ur<U+00E2>nia",30.397,20.73
"627","SP",3555901,"Uru",45.008,22.369
"628","SP",3556008,"Urup<U+00EA>s",25.05,15.988
"629","SP",3556107,"Valentim Gentil",28.428,10.628
"630","SP",3556206,"Valinhos",6.737,5.83
"631","SP",3556305,"Valpara<U+00ED>so",26.423,17.905
"632","SP",3556354,"Vargem",21.003,17.1
"633","SP",3556404,"Vargem Grande do Sul",12.666,10.754
"634","SP",3556453,"Vargem Grande Paulista",20.416,16.134
"635","SP",3556503,"V<U+00E1>rzea Paulista",9.045,14.764
"636","SP",3556602,"Vera Cruz",28.512,16.766
"637","SP",3556701,"Vinhedo",5.565,6.545
"638","SP",3556800,"Viradouro",10.494,16.051
"639","SP",3556909,"Vista Alegre do Alto",9.437,9.409
"640","SP",3556958,"Vit<U+00F3>ria Brasil",35.6,24.395
"641","SP",3557006,"Votorantim",17.567,12.938
"642","SP",3557105,"Votuporanga",19.516,10.311
"643","SP",3557154,"Zacarias",29.442,21.429
"644","SP",3557204,"Chavantes",32.841,19.137
"645","SP",3557303,"Estiva Gerbi",13.544,13.965
"646","SP",3599919,"Santo Amaro",NA,NA
