;CITY;CLASS
245;IPORANGA;1
246;IPUA;1
247;IRACEMAPOLIS;2
248;IRAPUA;1
249;IRAPURU;1
250;ITABERA;1
251;ITAI;1
252;ITAJOBI;2
253;ITAJU;1
254;ITANHAEM;1
255;ITAOCA;1
256;ITAPECERICA DA SERRA;2
257;ITAPETININGA;2
258;ITAPEVA;1
259;ITAPEVI;2
260;ITAPIRA;2
261;ITAPIRAPUA PAULISTA;1
262;ITAPOLIS;2
263;ITAPORANGA;1
264;ITAPUI;2
265;ITAPURA;1
266;ITAQUAQUECETUBA;1
267;ITARARE;1
268;ITARIRI;1
269;ITATIBA;2
270;ITATINGA;1
271;ITIRAPINA;2
272;ITIRAPUA;1
273;ITOBI;1
274;ITU;2
275;ITUPEVA;3
276;ITUVERAVA;2
277;JABORANDI;1
278;JABOTICABAL;2
279;JACAREI;2
280;JACI;2
281;JACUPIRANGA;2
282;JAGUARIUNA;3
283;JALES;1
284;JAMBEIRO;2
285;JANDIRA;2
286;JARDINOPOLIS;1
287;JARINU;2
288;JAU;2
289;JERIQUARA;1
290;JOANOPOLIS;1
291;JOAO RAMALHO;2
292;JOSE BONIFACIO;2
293;JULIO MESQUITA;1
294;JUMIRIM;1
295;JUNDIAI;3
296;JUNQUEIROPOLIS;2
297;JUQUIA;1
298;JUQUITIBA;1
299;LAGOINHA;1
300;LARANJAL PAULISTA;2
301;LAVINIA;1
302;LAVRINHAS;1
303;LEME;2
304;LENCOIS PAULISTA;2
305;LIMEIRA;2
306;LINDOIA;1
307;LINS;2
308;LORENA;2
309;LOURDES;1
310;LOUVEIRA;3
311;LUCELIA;1
312;LUCIANOPOLIS;1
313;LUIS ANTONIO;3
314;LUIZIANIA;1
315;LUPERCIO;1
316;LUTECIA;2
317;MACATUBA;2
318;MACAUBAL;1
319;MACEDONIA;1
320;MAGDA;1
321;MAIRINQUE;2
322;MAIRIPORA;1
323;MANDURI;1
324;MARABA PAULISTA;2
325;MARACAI;2
326;MARAPOAMA;2
327;MARIAPOLIS;1
328;MARILIA;2
329;MARINOPOLIS;1
330;MARTINOPOLIS;1
331;MATAO;2
332;MAUA;2
333;MENDONCA;2
334;MERIDIANO;2
335;MESOPOLIS;2
336;MIGUELOPOLIS;2
337;MINEIROS DO TIETE;1
338;MIRA ESTRELA;1
339;MIRACATU;2
340;MIRANDOPOLIS;1
341;MIRANTE DO PARANAPANEMA;1
342;MIRASSOL;2
343;MIRASSOLANDIA;1
344;MOCOCA;2
345;MOGI DAS CRUZES;2
346;MOGI GUACU;2
347;MOJI MIRIM;2
348;MOMBUCA;1
349;MONCOES;2
350;MONGAGUA;1
351;MONTE ALEGRE DO SUL;2
352;MONTE ALTO;2
353;MONTE APRAZIVEL;2
354;MONTE AZUL PAULISTA;2
355;MONTE CASTELO;1
356;MONTE MOR;2
357;MONTEIRO LOBATO;1
358;MORRO AGUDO;2
359;MORUNGABA;2
360;MOTUCA;2
361;MURUTINGA DO SUL;1
362;NANTES;2
363;NARANDIBA;2
364;NATIVIDADE DA SERRA;1
365;NAZARE PAULISTA;1
366;NEVES PAULISTA;2
367;NHANDEARA;2
368;NIPOA;1
369;NOVA ALIANCA;1
370;NOVA CAMPINA;2
371;NOVA CANAA PAULISTA;1
372;NOVA CASTILHO;2
373;NOVA EUROPA;2
374;NOVA GRANADA;1
375;NOVA GUATAPORANGA;1
376;NOVA INDEPENDENCIA;2
377;NOVA LUZITANIA;1
378;NOVA ODESSA;2
379;NOVAIS;1
380;NOVO HORIZONTE;2
381;NUPORANGA;2
382;OCAUCU;1
383;OLEO;1
384;OLIMPIA;2
385;ONDA VERDE;2
386;ORIENTE;1
387;ORINDIUVA;2
388;ORLANDIA;2
389;OSASCO;3
390;OSCAR BRESSANE;1
391;OSVALDO CRUZ;2
392;OURINHOS;2
393;OURO VERDE;1
394;OUROESTE;3
395;PACAEMBU;1
396;PALESTINA;2
397;PALMARES PAULISTA;1
398;PALMEIRA D'OESTE;1
399;PALMITAL;2
400;PANORAMA;1
401;PARAGUACU PAULISTA;2
402;PARAIBUNA;1
403;PARAISO;2
404;PARANAPANEMA;2
405;PARANAPUA;1
406;PARAPUA;2
407;PARDINHO;2
408;PARIQUERA-ACU;1
409;PARISI;1
410;PATROCINIO PAULISTA;2
411;PAULICEIA;2
412;PAULINIA;3
413;PAULISTANIA;1
414;PAULO DE FARIA;2
415;PEDERNEIRAS;2
416;PEDRA BELA;1
417;PEDRANOPOLIS;1
418;PEDREGULHO;2
419;PEDREIRA;2
420;PEDRINHAS PAULISTA;2
421;PEDRO DE TOLEDO;1
422;PENAPOLIS;1
423;PEREIRA BARRETO;2
424;PEREIRAS;1
425;PERUIBE;1
426;PIACATU;1
427;PIEDADE;1
428;PILAR DO SUL;1
429;PINDAMONHANGABA;2
430;PINDORAMA;1
431;PINHALZINHO;1
432;PIQUEROBI;1
433;PIQUETE;1
434;PIRACAIA;1
435;PIRACICABA;2
436;PIRAJU;1
437;PIRAJUI;1
438;PIRANGI;1
439;PIRAPORA DO BOM JESUS;2
440;PIRAPOZINHO;2
441;PIRASSUNUNGA;2
442;PIRATININGA;1
443;PITANGUEIRAS;2
444;PLANALTO;2
445;PLATINA;1
446;POA;2
447;POLONI;2
448;POMPEIA;2
449;PONGAI;1
450;PONTAL;2
451;PONTALINDA;1
452;PONTES GESTAL;2
453;POPULINA;1
454;PORANGABA;1
455;PORTO FELIZ;2
456;PORTO FERREIRA;2
457;POTIM;1
458;POTIRENDABA;2
459;PRACINHA;1
460;PRADOPOLIS;2
461;PRAIA GRANDE;1
462;PRATANIA;2
463;PRESIDENTE ALVES;1
464;PRESIDENTE BERNARDES;1
465;PRESIDENTE EPITACIO;1
466;PRESIDENTE PRUDENTE;2
467;PRESIDENTE VENCESLAU;1
468;PROMISSAO;2
469;QUADRA;2
470;QUATA;2
471;QUEIROZ;3
472;QUELUZ;1
473;QUINTANA;1
474;RAFARD;2
475;RANCHARIA;2
476;REDENCAO DA SERRA;1
477;REGENTE FEIJO;2
478;REGINOPOLIS;1
479;REGISTRO;2
480;RESTINGA;2
481;RIBEIRA;1
482;RIBEIRAO BONITO;1
483;RIBEIRAO BRANCO;1
484;RIBEIRAO CORRENTE;1
485;RIBEIRAO DO SUL;1
486;RIBEIRAO DOS INDIOS;1
487;RIBEIRAO GRANDE;2
488;RIBEIRAO PIRES;2
489;RIBEIRAO PRETO;2
490;RIFAINA;2
491;RINCAO;1
492;RINOPOLIS;1
493;RIO CLARO;2
494;RIO DAS PEDRAS;2
495;RIO GRANDE DA SERRA;1
496;RIOLANDIA;1
497;RIVERSUL;1
498;ROSANA;2
499;ROSEIRA;2
500;RUBIACEA;2
501;RUBINEIA;1
502;SABINO;2
503;SAGRES;1
504;SALES;1
505;SALES OLIVEIRA;2
