;CITY;CLASS
1036;MIRANTE DO PARANAPANEMA;1
1037;ITAPETININGA;1
1038;ALVARES MACHADO;3
1039;SAO PAULO;2
1040;AGUAI;1
1041;INUBIA PAULISTA;3
1042;BROTAS;1
1043;SALESOPOLIS;1
1044;CAJURU;1
1045;TIMBURI;1
1046;BARRETOS;1
1047;MARTINOPOLIS;1
1048;MIRANTE DO PARANAPANEMA;1
1049;IBATE;1
1050;PRESIDENTE EPITACIO;1
1051;ANDRADINA;1
1052;RIBEIRAO GRANDE;1
1053;SAO MIGUEL ARCANJO;1
1054;JOAO RAMALHO;1
1055;BURI;1
1056;CRAVINHOS;1
1057;VALPARAISO;3
1058;ITAPEVA;1
1059;ITABERA;1
1060;BARRETOS;1
1061;SANTA LUCIA;1
1062;LAVRINHAS;1
1063;SAO PAULO;2
1064;PIRACICABA;1
1065;TAQUARITINGA;1
1066;MOGI DAS CRUZES;1
1067;PAULISTANIA;1
1068;PIRAJUI;1
1069;ITAPETININGA;1
1070;TEODORO SAMPAIO;1
1071;CARAGUATATUBA;1
1072;IBIRA;3
1073;ITAPEVA;1
1074;MIGUELOPOLIS;1
1075;PARAIBUNA;1
1076;URU;1
1077;SALTO;2
1078;MENDONCA;1
1079;NOVA GRANADA;1
1080;OURO VERDE;1
1081;LAVINIA;1
1082;PORTO FELIZ;3
1083;PENAPOLIS;1
1084;NOVA CASTILHO;1
1085;GENERAL SALGADO;1
1086;RANCHARIA;1
1087;CANDIDO MOTA;1
1088;SAO PAULO;2
1089;COLOMBIA;1
1090;RANCHARIA;1
1091;ITAJOBI;1
1092;GUAPIARA;1
1093;PIRAJUI;1
1094;BENTO DE ABREU;1
1095;CAJOBI;1
1096;CABRALIA PAULISTA;1
1097;OLIMPIA;3
1098;LENCOIS PAULISTA;1
1099;DRACENA;1
1100;SANTO ANTONIO DO ARACANGUA;1
1101;BOTUCATU;1
1102;NATIVIDADE DA SERRA;1
1103;BARRA DO TURVO;1
1104;JARINU;2
1105;ELDORADO;1
1106;MOCOCA;3
1107;PENAPOLIS;1
1108;JACUPIRANGA;1
1109;CRUZEIRO;1
1110;TEODORO SAMPAIO;1
1111;PINDAMONHANGABA;3
1112;TEODORO SAMPAIO;1
1113;TUPA;1
1114;ITUPEVA;2
1115;ELDORADO;1
1116;AVARE;1
1117;PIRAJUI;1
1118;SANTA ERNESTINA;1
1119;GALIA;1
1120;FRANCISCO MORATO;2
1121;GUARANTA;1
1122;BARRETOS;1
1123;NOVA GRANADA;1
1124;GUARATINGUETA;3
1125;RANCHARIA;1
1126;AMERICO BRASILIENSE;1
1127;AMPARO;2
1128;IPORANGA;1
1129;SAO MIGUEL ARCANJO;1
1130;GUARIBA;1
1131;SILVEIRAS;1
1132;POTIRENDABA;1
1133;ANDRADINA;1
1134;AVARE;1
1135;ITAPURA;1
1136;SAO JOAO DAS DUAS PONTES;1
1137;PARANAPANEMA;1
1138;PRADOPOLIS;1
1139;ITARIRI;1
1140;PONTALINDA;1
1141;BATATAIS;1
1142;LEME;1
1143;LUCELIA;1
1144;CAMPINAS;2
1145;LAVINIA;1
1146;SAO JOAQUIM DA BARRA;3
1147;SAO PAULO;2
1148;NOVA CAMPINA;1
1149;TAQUARITINGA;1
1150;ALAMBARI;3
1151;SAO CARLOS;1
1152;ATIBAIA;2
1153;PIRACICABA;1
1154;CAJATI;1
1155;AVARE;1
1156;SANTA CRUZ DA CONCEICAO;3
1157;JARDINOPOLIS;3
1158;MORRO AGUDO;1
1159;SAO PEDRO;1
1160;OLIMPIA;3
1161;BOFETE;1
1162;HERCULANDIA;1
1163;PACAEMBU;1
1164;CAPAO BONITO;1
1165;RIO CLARO;3
1166;SANTA FE DO SUL;1
1167;PINHALZINHO;3
1168;ITANHAEM;1
1169;BOITUVA;3
1170;ITUVERAVA;1
1171;ARARAS;1
1172;SAO BERNARDO DO CAMPO;2
1173;PATROCINIO PAULISTA;1
1174;EUCLIDES DA CUNHA PAULISTA;1
1175;SANTO ANTONIO DO ARACANGUA;1
1176;RIO DAS PEDRAS;3
1177;MAIRIPORA;2
1178;SERTAOZINHO;3
1179;TORRINHA;1
1180;COLOMBIA;1
1181;MONTEIRO LOBATO;1
1182;BANANAL;1
1183;SETE BARRAS;1
1184;CASSIA DOS COQUEIROS;1
1185;IBIUNA;1
1186;ITUPEVA;2
1187;IPORANGA;1
1188;GASTAO VIDIGAL;1
1189;CONCHAS;3
1190;QUINTANA;1
1191;CAFELANDIA;1
1192;CRISTAIS PAULISTA;1
1193;NANTES;1
1194;PIRAJUI;1
1195;ITAJOBI;1
1196;CRISTAIS PAULISTA;1
1197;GETULINA;1
1198;APIAI;1
1199;IPORANGA;1
1200;COSMORAMA;1
1201;TORRINHA;1
1202;JABOTICABAL;1
1203;SAO JOAO DA BOA VISTA;1
1204;SALTO DE PIRAPORA;3
1205;JACI;1
1206;JARINU;2
1207;PALMITAL;1
1208;PLANALTO;1
1209;MARILIA;3
1210;PEDRANOPOLIS;1
1211;PIEDADE;3
1212;PIQUETE;3
1213;ITIRAPINA;1
1214;CATANDUVA;1
1215;CAMPOS NOVOS PAULISTA;1
1216;MIGUELOPOLIS;1
1217;PARANAPANEMA;1
1218;AGUDOS;1
1219;CABREUVA;3
1220;MACEDONIA;1
1221;DRACENA;1
1222;AVARE;1
1223;DOIS CORREGOS;1
1224;JABOTICABAL;1
1225;CAMPINAS;2
1226;MORRO AGUDO;1
1227;SANTO ANTONIO DA ALEGRIA;1
1228;NOVA EUROPA;1
1229;ITAPUI;3
1230;PENAPOLIS;1
1231;CAJATI;1
1232;BURI;1
1233;PEREIRA BARRETO;1
1234;PEREIRA BARRETO;1
1235;PIEDADE;3
1236;TARABAI;1
1237;ENGENHEIRO COELHO;3
1238;TATUI;3
1239;MATAO;3
1240;BORA;1
1241;PALMITAL;1
1242;APIAI;1
1243;MONTE ALTO;3
1244;RIBEIRA;1
1245;PACAEMBU;1
1246;LUTECIA;1
1247;ATIBAIA;2
1248;TAQUARIVAI;1
1249;ALTINOPOLIS;1
1250;PIRASSUNUNGA;1
1251;ITAPOLIS;1
1252;GUARACAI;1
1253;TAUBATE;1
1254;PRADOPOLIS;1
1255;ITARIRI;1
1256;REGINOPOLIS;1
1257;PIRASSUNUNGA;1
1258;TACIBA;1
1259;TAPIRAI;1
1260;PARANAPUA;1
1261;ALTAIR;1
1262;CAPAO BONITO;1
1263;TANABI;1
1264;LUIS ANTONIO;1
1265;BATATAIS;1
1266;ARARAQUARA;3
1267;UCHOA;1
1268;BARAO DE ANTONINA;1
1269;JUQUIA;1
1270;NARANDIBA;1
1271;TARUMA;1
1272;IBITINGA;1
1273;PAULISTANIA;1
1274;ITABERA;1
1275;COLOMBIA;1
1276;SANTO ANTONIO DO ARACANGUA;1
1277;ITARARE;1
1278;SANTO ANTONIO DO ARACANGUA;1
1279;PINDORAMA;3
1280;PEDRINHAS PAULISTA;1
1281;QUINTANA;1
1282;GUZOLANDIA;1
1283;BOTUCATU;1
1284;TAIACU;3
1285;CASA BRANCA;1
1286;BARRA BONITA;1
1287;IBIUNA;1
1288;CAMPOS NOVOS PAULISTA;1
1289;ELDORADO;1
1290;PIRACAIA;1
1291;BURITIZAL;1
1292;ELDORADO;1
1293;PILAR DO SUL;1
1294;SANTA FE DO SUL;1
1295;JUQUITIBA;1
1296;ESPIRITO SANTO DO PINHAL;3
1297;PARAIBUNA;1
1298;PARIQUERA-ACU;1
1299;GUAIRA;1
1300;PIRAPOZINHO;1
1301;BIRIGUI;3
1302;TIMBURI;1
1303;JUQUIA;1
1304;BARIRI;1
1305;APARECIDA;1
1306;ANHUMAS;1
1307;TAMBAU;1
1308;ITAPEVA;1
1309;RIBEIRAO BRANCO;1
1310;ERRO;1
1311;ANDRADINA;1
1312;NATIVIDADE DA SERRA;1
1313;NEVES PAULISTA;3
1314;TANABI;1
1315;SANTA CRUZ DO RIO PARDO;1
1316;PLATINA;1
1317;BORBOREMA;1
1318;ARARAQUARA;3
1319;SAO CARLOS;1
1320;AGUAI;1
1321;IPAUSSU;1
1322;GUARATINGUETA;3
1323;CUNHA;1
1324;PIACATU;1
1325;MARTINOPOLIS;1
1326;ANGATUBA;1
1327;CAPAO BONITO;1
1328;PANORAMA;1
1329;PILAR DO SUL;1
1330;PEDERNEIRAS;3
1331;TABATINGA;3
1332;MOGI DAS CRUZES;1
1333;JAU;3
1334;SUD MENNUCCI;1
1335;SANTO ANTONIO DO JARDIM;1
1336;MIRANDOPOLIS;1
1337;NAZARE PAULISTA;3
1338;URANIA;3
1339;MIRANTE DO PARANAPANEMA;1
1340;IGUAPE;1
1341;GUARACI;1
1342;TAQUARIVAI;1
1343;REGINOPOLIS;1
1344;SAO SIMAO;1
1345;PARAGUACU PAULISTA;1
1346;PALMEIRA D'OESTE;1
1347;PRESIDENTE PRUDENTE;3
1348;PORTO FELIZ;3
1349;CAPAO BONITO;1
1350;MACEDONIA;1
1351;GUAREI;1
1352;SANTO ANTONIO DE POSSE;3
1353;ITAPETININGA;1
1354;FERNANDO PRESTES;1
1355;SUMARE;2
1356;ECHAPORA;1
1357;PATROCINIO PAULISTA;1
1358;PATROCINIO PAULISTA;1
1359;CAMPOS DO JORDAO;1
1360;CARDOSO;1
1361;OURO VERDE;1
1362;ANGATUBA;1
1363;SAO MIGUEL ARCANJO;1
1364;TABATINGA;3
1365;ALTO ALEGRE;1
1366;IBIUNA;1
1367;BOTUCATU;1
1368;BENTO DE ABREU;1
1369;UBIRAJARA;1
1370;RIBEIRAO PRETO;3
1371;BATATAIS;1
1372;SANTA BRANCA;1
1373;RESTINGA;3
1374;SANTA BARBARA D'OESTE;2
1375;SANDOVALINA;1
1376;ITU;3
1377;BROTAS;1
1378;RIBEIRAO PRETO;3
1379;TERRA ROXA;1
1380;CAPIVARI;3
1381;CAFELANDIA;1
1382;AREALVA;1
1383;MARACAI;1
1384;COSMORAMA;1
1385;RANCHARIA;1
1386;PINDAMONHANGABA;3
1387;GUAIRA;1
1388;JOSE BONIFACIO;1
1389;MAIRINQUE;2
1390;NHANDEARA;1
1391;SAO PEDRO;1
1392;MOGI GUACU;1
1393;VARGEM GRANDE PAULISTA;2
1394;SUZANAPOLIS;1
1395;NATIVIDADE DA SERRA;1
1396;PIRANGI;1
1397;ERRO;1
1398;CASTILHO;1
1399;VARGEM GRANDE DO SUL;1
1400;BOTUCATU;1
1401;ARACATUBA;3
1402;IPUA;1
1403;IBIRAREMA;1
1404;MACATUBA;3
1405;ITAI;1
1406;GUAIMBE;1
1407;ELIAS FAUSTO;2
1408;MARABA PAULISTA;1
1409;ARCO-IRIS;1
1410;PONTALINDA;1
1411;BROTAS;1
1412;SANTO ANTONIO DO ARACANGUA;1
1413;PACAEMBU;1
1414;MARABA PAULISTA;1
1415;ELDORADO;1
1416;TAUBATE;1
1417;SAO BENTO DO SAPUCAI;3
1418;IPUA;1
1419;JABORANDI;1
1420;UBARANA;1
1421;MARILIA;3
1422;NHANDEARA;1
1423;CANANEIA;1
1424;ITAPETININGA;1
1425;RINCAO;1
1426;PEDRO DE TOLEDO;1
1427;RIBEIRAO GRANDE;1
1428;IPERO;2
1429;BARRA DO TURVO;1
1430;PIRAJUI;1
1431;ELDORADO;1
1432;SOCORRO;1
1433;MARILIA;3
1434;BOTUCATU;1
1435;PARAGUACU PAULISTA;1
1436;FERNANDOPOLIS;3
1437;CORUMBATAI;3
1438;BADY BASSITT;1
1439;TAQUARITINGA;1
1440;IPORANGA;1
1441;SAO MIGUEL ARCANJO;1
1442;SUD MENNUCCI;1
1443;CAJATI;1
1444;UBATUBA;1
1445;TAPIRAI;1
1446;SANTA RITA DO PASSA QUATRO;1
1447;ASSIS;1
1448;NATIVIDADE DA SERRA;1
1449;JALES;1
1450;SAO CARLOS;1
1451;SAO JOAO DA BOA VISTA;1
1452;ELDORADO;1
1453;ANHEMBI;1
1454;GUARIBA;1
1455;IEPE;1
1456;SAO JOSE DO BARREIRO;1
1457;JUNDIAI;2
1458;ALFREDO MARCONDES;1
1459;MANDURI;3
1460;BAURU;3
1461;RIVERSUL;1
1462;CUNHA;1
1463;JARDINOPOLIS;3
1464;ITAJU;1
1465;TUPI PAULISTA;1
1466;RIBEIRAO BRANCO;1
1467;SAO JOSE DO RIO PRETO;3
1468;AGUAS DE SANTA BARBARA;1
1469;ONDA VERDE;1
1470;SANTA CLARA D'OESTE;1
1471;TEODORO SAMPAIO;1
1472;TEODORO SAMPAIO;1
1473;ITAJOBI;1
1474;SARAPUI;1
1475;BAURU;3
1476;PRESIDENTE EPITACIO;1
1477;PEREIRA BARRETO;1
1478;BARRA DO CHAPEU;1
1479;BURITIZAL;1
1480;SETE BARRAS;1
1481;SANTO ANTONIO DO ARACANGUA;1
1482;PALESTINA;1
1483;TAQUARITINGA;1
1484;SAO JOAO DE IRACEMA;1
1485;TEJUPA;1
1486;ITAPORANGA;1
1487;MOCOCA;3
1488;PENAPOLIS;1
1489;IGUAPE;1
1490;APARECIDA;1
1491;TUPA;1
1492;CACHOEIRA PAULISTA;3
1493;BURI;1
1494;CATANDUVA;1
1495;BERNARDINO DE CAMPOS;1
1496;ITABERA;1
1497;TACIBA;1
1498;QUELUZ;1
1499;AURIFLAMA;1
1500;TUPI PAULISTA;1
1501;SERRA NEGRA;3
1502;CAPAO BONITO;1
1503;BARRETOS;1
1504;RUBINEIA;1
1505;BERTIOGA;3
1506;RANCHARIA;1
1507;IBITINGA;1
1508;CUNHA;1
1509;HERCULANDIA;1
1510;ITAPETININGA;1
1511;JUQUIA;1
1512;SAO BENTO DO SAPUCAI;3
1513;IGUAPE;1
1514;PRESIDENTE EPITACIO;1
1515;LUCELIA;1
1516;GLICERIO;1
1517;GUARAREMA;3
1518;TEODORO SAMPAIO;1
1519;SARUTAIA;1
1520;CORONEL MACEDO;1
1521;PEDRO DE TOLEDO;1
1522;URUPES;1
1523;REGISTRO;1
1524;NOVA GRANADA;1
1525;ITAPEVA;1
1526;LORENA;1
1527;PARAIBUNA;1
1528;LUIS ANTONIO;1
1529;PRESIDENTE EPITACIO;1
1530;CUNHA;1
1531;DESCALVADO;1
1532;ITAPURA;1
1533;UBATUBA;1
1534;NOVA CAMPINA;1
1535;MONTEIRO LOBATO;1
1536;EMILIANOPOLIS;1
1537;NAZARE PAULISTA;3
1538;ANDRADINA;1
1539;MIRASSOL;2
1540;LENCOIS PAULISTA;1
1541;IBIUNA;1
1542;IPIGUA;3
1543;SANTA CRUZ DO RIO PARDO;1
1544;IPORANGA;1
1545;ILHA COMPRIDA;1
1546;PILAR DO SUL;1
1547;TAQUARITINGA;1
1548;AGUAS DA PRATA;1
1549;SERRA AZUL;1
1550;MORRO AGUDO;1
1551;CESARIO LANGE;3
1552;JUQUIA;1
1553;MIRANTE DO PARANAPANEMA;1
1554;MOGI GUACU;1
1555;PARISI;3
1556;SAO JOSE DOS CAMPOS;3
1557;ANHEMBI;1
1558;SOCORRO;1
1559;IEPE;1
1560;MIRACATU;1
1561;SAO JOSE DO BARREIRO;1
1562;MIRANTE DO PARANAPANEMA;1
1563;ORLANDIA;3
1564;GUAIRA;1
1565;PIRACICABA;1
1566;PARAIBUNA;1
1567;SALES OLIVEIRA;1
1568;GARCA;3
1569;ILHABELA;1
1570;ANGATUBA;1
1571;PANORAMA;1
1572;CEDRAL;3
1573;GUAPIARA;1
1574;PEREIRAS;1
1575;GUARARAPES;1
1576;JOSE BONIFACIO;1
1577;ALVARO DE CARVALHO;1
1578;GUAREI;1
1579;TUPA;1
1580;CERQUEIRA CESAR;1
1581;CONCHAS;3
1582;PIRAJUI;1
1583;BRODOWSKI;1
1584;BURI;1
1585;MAGDA;1
1586;RIO CLARO;3
1587;AGUAI;1
1588;CRUZEIRO;1
