;CITY;CLASS
233;VISTA ALEGRE DO ALTO;1
234;SAO ROQUE;2
235;SAO PAULO;2
236;ARARAS;1
237;FRANCA;3
238;ASSIS;1
239;SETE BARRAS;1
240;FLORA RICA;1
241;RIBEIRAO BONITO;1
242;COLOMBIA;1
243;ILHA COMPRIDA;1
244;ESPIRITO SANTO DO TURVO;1
245;RESTINGA;3
246;PEDERNEIRAS;3
247;ITAPIRAPUA PAULISTA;1
248;RIBEIRAO PRETO;3
249;DESCALVADO;1
250;SAO MIGUEL ARCANJO;1
251;NOVO HORIZONTE;3
252;SAO PAULO;2
253;ITANHAEM;1
254;IPAUSSU;1
255;CAJURU;1
256;CUNHA;1
257;BERTIOGA;3
258;AGUAS DE SANTA BARBARA;1
259;IBATE;1
260;SAO PEDRO;1
261;ECHAPORA;1
262;SANTANA DA PONTE PENSA;1
263;PRESIDENTE PRUDENTE;3
264;TEJUPA;1
265;SERRA AZUL;1
266;SUD MENNUCCI;1
267;SALESOPOLIS;1
268;ITAPECERICA DA SERRA;2
269;PEREIRA BARRETO;1
270;ESPIRITO SANTO DO PINHAL;3
271;CAJATI;1
272;PONTAL;3
273;BOCAINA;1
274;ARCO-IRIS;1
275;CERQUILHO;3
276;UBATUBA;1
277;MOGI DAS CRUZES;1
278;JAU;3
279;PEDERNEIRAS;3
280;PAULO DE FARIA;1
281;BIRIGUI;3
282;AGUDOS;1
283;DUARTINA;3
284;TANABI;1
285;SAO VICENTE;2
286;ITATINGA;1
287;EUCLIDES DA CUNHA PAULISTA;1
288;CACHOEIRA PAULISTA;3
289;PARANAPANEMA;1
290;CUBATAO;2
291;CAFELANDIA;1
292;SAO JOSE DO RIO PRETO;3
293;CACONDE;1
294;AVANHANDAVA;3
295;TEODORO SAMPAIO;1
296;SAO JOSE DOS CAMPOS;3
297;JAMBEIRO;1
298;GUARATINGUETA;3
299;PAULO DE FARIA;1
300;BARAO DE ANTONINA;1
301;SAO BERNARDO DO CAMPO;2
302;FARTURA;1
303;PROMISSAO;3
304;PRAIA GRANDE;3
305;IGARATA;1
306;ITAPIRA;3
307;NOVA CANAA PAULISTA;1
308;OLEO;1
309;NOVA INDEPENDENCIA;1
310;ANHUMAS;1
311;SUD MENNUCCI;1
312;LUTECIA;1
313;SANTO ANTONIO DO PINHAL;1
314;MOCOCA;3
315;SANTA ADELIA;1
316;QUELUZ;1
317;BOFETE;1
318;SANTOPOLIS DO AGUAPEI;1
319;UBATUBA;1
320;MIRASSOL;2
321;AGUDOS;1
322;JUNQUEIROPOLIS;1
323;CACAPAVA;3
324;NOVO HORIZONTE;3
325;ARANDU;1
326;CANANEIA;1
327;LORENA;1
328;MONTE ALTO;3
329;PALMARES PAULISTA;3
330;ORINDIUVA;1
331;JACAREI;2
332;SANTA CRUZ DO RIO PARDO;1
333;FLORIDA PAULISTA;1
334;PIRATININGA;1
335;INDAIATUBA;3
336;MOGI DAS CRUZES;1
337;PALESTINA;1
338;MOCOCA;3
339;VITORIA BRASIL;1
340;FERNANDOPOLIS;3
341;SOROCABA;2
342;JABOTICABAL;1
343;SANDOVALINA;1
344;QUADRA;1
345;ORLANDIA;3
346;SAO CARLOS;1
347;APIAI;1
348;RANCHARIA;1
349;AGUAS DE LINDOIA;1
350;ITAOCA;1
351;SAO PAULO;2
352;PIRACICABA;1
353;TEODORO SAMPAIO;1
354;DESCALVADO;1
355;PEREIRA BARRETO;1
356;FLORA RICA;1
357;SAO JOSE DA BELA VISTA;1
358;MIRANDOPOLIS;1
359;BARIRI;1
360;SAO JOSE DO BARREIRO;1
361;SAO SEBASTIAO DA GRAMA;3
362;SOROCABA;2
363;BRODOWSKI;1
364;MORRO AGUDO;1
365;BERTIOGA;3
366;ANHEMBI;1
367;MORRO AGUDO;1
368;ITAPEVA;1
369;CRISTAIS PAULISTA;1
370;ITARARE;1
371;GUARULHOS;2
372;PRESIDENTE EPITACIO;1
373;PIRACICABA;1
374;VALINHOS;2
375;LUIZIANIA;1
376;PORANGABA;1
377;BORA;1
378;TATUI;3
379;RIBEIRAO GRANDE;1
380;ITAPUI;3
381;IBITINGA;1
382;PERUIBE;3
383;AGUDOS;1
384;SANTO ANTONIO DA ALEGRIA;1
385;LARANJAL PAULISTA;3
386;ITATINGA;1
387;CAIUA;1
388;RUBIACEA;1
389;PEDREGULHO;1
390;CATANDUVA;1
391;ITIRAPINA;1
392;ITABERA;1
393;POLONI;1
394;IGARATA;1
395;GUARA;1
396;PIQUEROBI;1
397;CABREUVA;3
398;NOVO HORIZONTE;3
399;SARAPUI;1
400;BOFETE;1
401;SAO PAULO;2
402;SANTA ADELIA;1
403;PRESIDENTE BERNARDES;3
404;CASTILHO;1
405;LINS;1
406;IARAS;1
407;OLIMPIA;3
408;OLIMPIA;3
409;MARILIA;3
410;MIRANDOPOLIS;1
411;BARRETOS;1
412;SAO JOSE DOS CAMPOS;3
413;RIBEIRAO DO SUL;1
414;AVARE;1
415;MOGI MIRIM;2
416;BURITAMA;3
417;QUEIROZ;1
418;BURI;1
419;BOA ESPERANCA DO SUL;1
420;MAGDA;1
421;ITAPORANGA;1
422;ITIRAPUA;1
423;SUMARE;2
424;PARAPUA;1
425;MARTINOPOLIS;1
426;INDAIATUBA;3
427;CARDOSO;1
428;LAVINIA;1
429;SANTA ISABEL;3
430;PALESTINA;1
431;SOROCABA;2
432;PILAR DO SUL;1
433;GUAICARA;1
434;ERRO;1
