"","City","UF Code","Microregion","Mesoregion","Coordinates"
"73","599","3506409","35018","3503","list(c(-50.422534157, -50.440778931, -50.459258759, -50.493312862, -50.5169543019999, -50.553786745, -50.5392611729999, -50.5232412299999, -50.484066288, -50.465716319, -50.445890763, -50.418068182, -50.422534157, -21.4456682119999, -21.4883570219999, -21.510370703, -21.521889471, -21.464142938, -21.4498877419999, -21.437167282, -21.3895974329999, -21.35104503, -21.307725674, -21.392183092, -21.418066209, -21.4456682119999))"
"74","601","3506508","35018","3503","list(c(-50.252994948, -50.2394149039999, -50.248667956, -50.257148571, -50.288376479, -50.3121953039999, -50.3134968269999, -50.346185416, -50.353893958, -50.41901064, -50.422534157, -50.418068182, -50.445890763, -50.465716319, -50.4665508209999, -50.3904435169999, -50.403571884, -50.380442863, -50.3562581209999, -50.3469798249999, -50.3119333459999, -50.2732056909999, -50.271962491, -50.252994948, -21.117084807, -21.1890915889999, -21.213189132, -21.2456266799999, -21.2617211809999, -21.299229386, 
-21.3541370569999, -21.402092281, -21.450380437, -21.4654590769999, -21.4456682119999, -21.418066209, -21.392183092, -21.307725674, -21.2971088629999, -21.251682155, -21.232557839, -21.15404546, -21.126371427, -21.0602736779999, -21.077297524, -21.074427725, -21.103581762, -21.117084807))"
"75","602","3506607","35062","3515","list(c(-46.077039, -46.056636, -45.9926639999999, -45.965068, -45.9652482979999, -45.929251366, -45.939387208, -45.9161389999999, -45.936097, -45.976513, -46.033689, -46.077424, -46.100905, -46.082168, -46.088426, -46.0880099999999, -46.1121259999999, -46.077039, -23.514675, -23.5421709999999, -23.519916, -23.553597, -23.580801282, -23.5984770599999, -23.6323247619999, -23.6669039999999, -23.7012089999999, -23.6940059999999, -23.7208229999999, -23.732626, -23.71845, -23.679966, -23.638637, -23.575431, 
-23.540789, -23.514675))"
"76","608","3506706","35024","3505","list(c(-48.396582124, -48.3447378499999, -48.3130736759999, -48.2632889179999, -48.2544267879999, -48.288716031, -48.291496917, -48.322197031, -48.34912652, -48.4142161039999, -48.44132508, -48.44486305, -48.5033114239999, -48.544293239, -48.56442476, -48.6069309549999, -48.642424405, -48.679396888, -48.678904367, -48.642829508, -48.6578648, -48.6362243359999, -48.594517579, -48.5685420149999, -48.516585849, -48.4504959929999, -48.396582124, -21.854154063, -21.853202408, -21.867738639, -21.871839931, 
-21.893145131, -21.95467538, -21.989747501, -21.9891187219999, -22.009014464, -22.034490864, -22.0610856929999, -22.0631539619999, -22.019421006, -22.034539668, -22.004827916, -21.987736287, -21.970061438, -21.928793798, -21.927797499, -21.904631491, -21.844637238, -21.835987345, -21.845899426, -21.8646943059999, -21.8693186269999, -21.8447887629999, -21.854154063))"
"77","626","3506805","35021","3504","list(c(-48.44486305, -48.396189138, -48.418371338, -48.438598869, -48.476975097, -48.5075018209999, -48.536081012, -48.5716993619999, -48.6325076639999, -48.6240210719999, -48.6440249039999, -48.615095485, -48.6069309549999, -48.56442476, -48.544293239, -48.5033114239999, -48.44486305, -22.0631539619999, -22.121751345, -22.162607911, -22.1573563979999, -22.1716780359999, -22.193887897, -22.189311776, -22.19858736, -22.16739826, -22.1527249919999, -22.117466437, -22.0888511659999, -21.987736287, -22.004827916, 
-22.034539668, -22.019421006, -22.0631539619999))"
"78","634","3506904","35023","3504","list(c(-48.138222618, -48.1296853219999, -48.123245423, -48.133385694, -48.1594715589999, -48.19206559, -48.1818362779999, -48.19005085, -48.2248996819999, -48.2607669729999, -48.241431695, -48.3003553, -48.3364254419999, -48.360145787, -48.402863607, -48.406044702, -48.451863364, -48.491538866, -48.452024712, -48.4283678689999, -48.386556685, -48.3635862099999, -48.326005274, -48.324343711, -48.3574381729999, -48.3496144919999, -48.296107826, -48.2913374739999, -48.2403464499999, -48.2180294199999, 
-48.1775970319999, -48.162189379, -48.1321677519999, -48.138222618, -22.964940413, -22.9808381289999, -23.0300150649999, -23.061909471, -23.086654799, -23.124140025, -23.140110094, -23.1752195839999, -23.1962496579999, -23.22994534, -23.280234658, -23.2578789639999, -23.268005495, -23.303005255, -23.285281649, -23.2676308329999, -23.2725352959999, -23.261133308, -23.2106755139999, -23.203084089, -23.186342474, -23.1559256629999, -23.13624643, -23.121048796, -23.100929379, -23.011258445, -22.981723028, 
-22.95824913, -22.973667443, -22.993477566, -22.97913095, -22.9981704099999, -22.982226135, -22.964940413))"
"79","635","3507001","35043","3511","list(c(-47.5780235839999, -47.6096499229999, -47.635205486, -47.675789391, -47.6826967109999, -47.737033218, -47.7621558989999, -47.7722361849999, -47.772220153, -47.74188709, -47.703999449, -47.6815037599999, -47.629504574, -47.616226946, -47.6088597999999, -47.575242724, -47.5780235839999, -23.363713558, -23.357123535, -23.368600509, -23.3677830299999, -23.3349002639999, -23.331548493, -23.3211266549999, -23.29600076, -23.2518232369999, -23.229568215, -23.216025439, -23.220344247, -23.191626087, 
-23.2078720489999, -23.298541401, -23.342522803, -23.363713558))"
"80","656","3507100","35048","3512","list(c(-46.415424, -46.439623, -46.472202, -46.509363, -46.5433169999999, -46.4826839999999, -46.415424, -23.120755, -23.198708, -23.233328, -23.232545, -23.20836, -23.112288, -23.120755))"
"81","665","3507159","35041","3511","list(c(-49.1078588239999, -49.0751669969999, -49.093288152, -49.119901214, -49.1371865949999, -49.187228669, -49.253500144, -49.201111832, -49.244702218, -49.2542356559999, -49.227036626, -49.2051738759999, -49.145100639, -49.148460294, -49.1078588239999, -24.250668041, -24.2843458209999, -24.3184726439999, -24.3300711429999, -24.3340848719999, -24.376373045, -24.4050386329999, -24.3451065689999, -24.332175214, -24.3179172769999, -24.2927069199999, -24.302705745, -24.2687537209999, -24.258385717, 
-24.250668041))"
"82","682","3507209","35039","3510","list(c(-50.451729421, -50.453152576, -50.4792906989999, -50.4653152, -50.489711749, -50.558467747, -50.551631473, -50.5239315229999, -50.4852459689999, -50.451729421, -22.1731401709999, -22.214976346, -22.2580865219999, -22.315912752, -22.3190788909999, -22.295290371, -22.2332556269999, -22.2203573809999, -22.1521600299999, -22.1731401709999))"
"83","683","3507308","35021","3504","list(c(-48.7144879379999, -48.7453938699999, -48.7715397339999, -48.803190467, -48.825224361, -48.819135025, -48.8560389419999, -48.8441207889999, -48.817818847, -48.794265684, -48.766954262, -48.754234224, -48.7144879379999, -22.1802406419999, -22.2239135359999, -22.2269932789999, -22.232413509, -22.2133907419999, -22.191945779, -22.166892939, -22.129050702, -22.1073945699999, -22.1253342319999, -22.104837614, -22.1537357189999, -22.1802406419999))"
"84","685","3507407","35024","3505","list(c(-48.911524744, -48.95965446, -49.0051422879999, -49.084027045, -49.1045031699999, -49.1380619459999, -49.164202711, -49.206264311, -49.2132931629999, -49.2412169959999, -49.18746218, -49.1558853929999, -49.150210675, -49.0821644599999, -49.0548249829999, -49.0193500679999, -48.991377142, -49.0001655, -48.9851273799999, -48.9639619399999, -48.973838058, -48.961459319, -48.9722989639999, -48.911524744, -21.674204968, -21.6988554819999, -21.698673341, -21.755594838, -21.7509993809999, -21.708437913, 
-21.6473698259999, -21.6545155919999, -21.6711443999999, -21.62415463, -21.5959469869999, -21.5559254259999, -21.530231175, -21.46453372, -21.4885231, -21.482281416, -21.456203788, -21.4853093089999, -21.520513508, -21.542005672, -21.588006213, -21.635074173, -21.6611413009999, -21.674204968))"
"85","687","3507456","35020","3504","list(c(-48.9321126, -48.8896955349999, -48.945036536, -48.934604704, -48.939030174, -48.955452121, -48.963758739, -48.9482534799999, -48.9834283229999, -49.030865633, -49.030492677, -49.0948634339999, -49.095332817, -49.0761910689999, -49.054608372, -49.016283636, -49.0003649559999, -49.002122108, -48.962851045, -48.9321126, -22.530097886, -22.5540240999999, -22.6210248089999, -22.6804065429999, -22.738835846, -22.752771733, -22.790422404, -22.825505853, -22.840510735, -22.833844031, -22.7632264869999, 
-22.6978816709999, -22.6668908139999, -22.6458078759999, -22.6523218049999, -22.630451116, -22.577059715, -22.5468450609999, -22.5299432099999, -22.530097886))"
"86","691","3507506","35023","3504","list(c(-48.246377642, -48.2400979889999, -48.2500161899999, -48.248217129, -48.284508731, -48.263790591, -48.257218813, -48.260348671, -48.2932176959999, -48.3017138709999, -48.2913374739999, -48.296107826, -48.3496144919999, -48.416887571, -48.45885005, -48.476342948, -48.501886573, -48.5467105559999, -48.5662664709999, -48.617107168, -48.6363311759999, -48.645141963, -48.705416853, -48.777645922, -48.8269135629999, -48.852213052, -48.827603913, -48.828944141, -48.7994284719999, -48.802567961, -48.7725419139999, 
-48.7427171969999, -48.6903276359999, -48.6636412839999, -48.5673149089999, -48.547748253, -48.526642985, -48.500817528, -48.4744606199999, -48.475171454, -48.4464318569999, -48.411257964, -48.4195662779999, -48.405778429, -48.365381352, -48.33408406, -48.2781715369999, -48.26147989, -48.246377642, -22.619038722, -22.6490972139999, -22.6780291609999, -22.732754432, -22.736352272, -22.76684684, -22.8284653379999, -22.866477501, -22.8767898679999, -22.914132073, -22.95824913, -22.981723028, -23.011258445, 
-22.999014098, -23.080615668, -23.0816491969999, -23.063286236, -23.0523867639999, -23.036525535, -23.038742118, -23.020634963, -22.966450105, -22.943301538, -22.965544972, -22.948975388, -22.9317247029999, -22.911580893, -22.892233812, -22.873402099, -22.845333695, -22.8523581109999, -22.873383265, -22.874346101, -22.847426024, -22.8534447129999, -22.858932243, -22.8068561389999, -22.804825654, -22.7734416599999, -22.7270464919999, -22.723530586, -22.677169433, -22.6628439049999, -22.6230750399999, 
-22.6088712339999, -22.625387589, -22.595684632, -22.6054321559999, -22.619038722))"
"87","700","3507605","35048","3512","list(c(-46.442836917, -46.4440838039999, -46.479221821, -46.4660922589999, -46.411111064, -46.4324688849999, -46.46493945, -46.4803042999999, -46.536582451, -46.568270696, -46.58677999, -46.636829075, -46.6631023539999, -46.695671725, -46.716328043, -46.6816000329999, -46.681816462, -46.647600396, -46.624470849, -46.6059345789999, -46.5826755849999, -46.52749825, -46.442836917, -22.8245280859999, -22.8406317009999, -22.8788277849999, -22.913220311, -22.980771782, -23.0380154499999, -23.0517056909999, 
-23.0313068999999, -23.0261530769999, -23.043315983, -23.018346876, -23.018447195, -22.99758087, -23.010740362, -22.977340136, -22.930223472, -22.885446451, -22.883755681, -22.832950989, -22.825899896, -22.85084675, -22.826870656, -22.8245280859999))"
"88","714","3507704","35018","3503","list(c(-50.2742314549999, -50.296261629, -50.300023838, -50.335849874, -50.3645495809999, -50.424854911, -50.406720245, -50.409046975, -50.3845336689999, -50.342663929, -50.3048676069999, -50.299625722, -50.259036021, -50.279864776, -50.2742314549999, -21.5591676409999, -21.57340879, -21.624664916, -21.635195682, -21.622816353, -21.631483626, -21.610917339, -21.588569413, -21.4897118809999, -21.495066145, -21.471807945, -21.457041203, -21.49418115, -21.5321452329999, -21.5591676409999))"
"89","723","3507753","35018","3503","list(c(-50.157304284, -50.1811030179999, -50.185404432, -50.206277106, -50.234967297, -50.248667956, -50.2394149039999, -50.252994948, -50.218484227, -50.1763555369999, -50.157304284, -21.1363700219999, -21.1837306369999, -21.238581279, -21.25841445, -21.2401517489999, -21.213189132, -21.1890915889999, -21.117084807, -21.1229951559999, -21.114284234, -21.1363700219999))"
"90","738","3507803","35014","3502","list(c(-47.5406384939999, -47.5247239999999, -47.518114, -47.558958, -47.628204, -47.6466820009999, -47.66725, -47.696885, -47.719053, -47.673984, -47.686864, -47.726035, -47.7185027849999, -47.6745056999999, -47.643696889, -47.612129006, -47.606914466, -47.5669678149999, -47.5406384939999, -21.0345534169999, -21.060486, -21.097933, -21.1076219999999, -21.148317, -21.148149998, -21.1185619999999, -21.131703, -21.1200719999999, -21.0747509999999, -21.0027469999999, -20.974217, -20.938363006, -20.9364068259999, 
-20.963175662, -20.961940527, -20.985102524, -21.0251914639999, -21.0345534169999))"
"91","739","3507902","35026","3506","list(c(-47.8999280309999, -47.882037328, -47.90553169, -47.9268179389999, -47.949430627, -47.9540448129999, -47.9238289109999, -47.9158139579999, -47.954020123, -47.9943100419999, -47.994834672, -48.040778769, -48.063283788, -48.111430431, -48.1550849979999, -48.2393482149999, -48.293115728, -48.327933854, -48.325294281, -48.314323158, -48.2564012, -48.255953641, -48.215841434, -48.197984753, -48.1347000649999, -48.107628844, -48.0437203339999, -48.044872136, -48.026579566, -47.993112507, -47.947870307, 
-47.9204434759999, -47.8999280309999, -22.157575815, -22.200716976, -22.230654267, -22.305411609, -22.320656119, -22.398141177, -22.406607546, -22.424660256, -22.4442507049999, -22.4773736349999, -22.493806701, -22.505886169, -22.4120061959999, -22.3751137959999, -22.361637023, -22.367542622, -22.26730715, -22.2645759129999, -22.220527599, -22.1987341559999, -22.1773758209999, -22.1546405079999, -22.158824199, -22.148049424, -22.1832350179999, -22.180249724, -22.1288702589999, -22.0732245889999, 
-22.076927763, -22.116005636, -22.111133627, -22.149548603, -22.157575815))"
"92","753","3508009","35041","3511","list(c(-48.407813276, -48.394913787, -48.3926437549999, -48.368821757, -48.349061225, -48.43138064, -48.475233079, -48.551657717, -48.5655714719999, -48.6318114489999, -48.666515551, -48.663563768, -48.692065423, -48.7159397469999, -48.7345318279999, -48.7446815499999, -48.7237963109999, -48.743797727, -48.7448443879999, -48.721240618, -48.7670143199999, -48.780956884, -48.764929093, -48.693637714, -48.6779753119999, -48.621904475, -48.609533604, -48.5771031859999, -48.5349233909999, -48.506728763, 
-48.477875323, -48.458467931, -48.443124186, -48.407813276, -23.714635293, -23.7252343989999, -23.781166303, -23.797095295, -23.8311385709999, -23.8924981919999, -23.890370036, -23.934691845, -23.9413138259999, -23.936183448, -23.922557646, -23.899650666, -23.88195767, -23.850650641, -23.854447121, -23.840817896, -23.785094557, -23.7608178569999, -23.7360053749999, -23.720537093, -23.6772710349999, -23.642802436, -23.613531227, -23.600942462, -23.58762633, -23.593967391, -23.581782591, -23.5763020699999, 
-23.5411391659999, -23.5487202959999, -23.609880753, -23.669772984, -23.695560842, -23.714635293))"
"93","754","3508108","35018","3503","list(c(-50.1799767759999, -50.156738278, -50.109744263, -50.095535372, -50.055037516, -50.109513932, -50.109661143, -50.1513161249999, -50.157304284, -50.1763555369999, -50.218484227, -50.252994948, -50.271962491, -50.2732056909999, -50.3119333459999, -50.3469798249999, -50.358189763, -50.3232298739999, -50.299238352, -50.2477773589999, -50.2330851299999, -50.1799767759999, -20.982384564, -20.978141605, -20.9889257419999, -21.0016623499999, -20.9973332499999, -21.0730865369999, -21.1034410409999, 
-21.1398860739999, -21.1363700219999, -21.114284234, -21.1229951559999, -21.117084807, -21.103581762, -21.074427725, -21.077297524, -21.0602736779999, -21.0435477309999, -21.0083903349999, -20.9995449429999, -21.0079151259999, -20.9802817679999, -20.982384564))"
"94","767","3508207","35011","3502","list(c(-47.609122978, -47.59312324, -47.6191607279999, -47.602649948, -47.6106070869999, -47.645442214, -47.699200355, -47.732912343, -47.7712546509999, -47.792027831, -47.823145381, -47.836525278, -47.791013795, -47.794535792, -47.7416419689999, -47.686886277, -47.674948327, -47.6206131609999, -47.609122978, -20.15960315, -20.180217085, -20.218865234, -20.2526460129999, -20.2772967519999, -20.2882644159999, -20.277354244, -20.249192555, -20.2482830439999, -20.26148755, -20.258383631, -20.2419157419999, 
-20.223873421, -20.199453338, -20.151744304, -20.139933683, -20.126158904, -20.139626329, -20.15960315))"
"95","784","3508306","35020","3504","list(c(-49.317030212, -49.2999456159999, -49.266737931, -49.3466649009999, -49.358194414, -49.4518648869999, -49.489687454, -49.503016583, -49.4846426349999, -49.449465017, -49.394424607, -49.367488457, -49.3548315039999, -49.317030212, -22.388799198, -22.3924589549999, -22.494098547, -22.533092386, -22.548742165, -22.576449812, -22.541859615, -22.513846729, -22.503092351, -22.492620899, -22.449721267, -22.439357307, -22.4083691079999, -22.388799198))"
"96","785","3508405","35046","3512","list(c(-47.028372544, -47.0142064779999, -46.969831191, -46.9722751319999, -46.959109182, -47.042914712, -47.102610102, -47.097908032, -47.121622939, -47.133502391, -47.1429672959999, -47.1737161349999, -47.168750745, -47.191355885, -47.1460414209999, -47.116035401, -47.1128121, -47.050874327, -47.028372544, -23.2366685279999, -23.263623443, -23.260408887, -23.301176342, -23.3268290569999, -23.3522612529999, -23.3694846989999, -23.399231759, -23.403526706, -23.380632475, -23.3483076389999, -23.326389906, 
-23.2938319209999, -23.270093785, -23.2555667399999, -23.2250587039999, -23.226034173, -23.240625242, -23.2366685279999))"
"97","788","3508504","35050","3513","list(c(-45.7250880359999, -45.713192206, -45.6835774909999, -45.663302717, -45.630959569, -45.628968684, -45.5937632819999, -45.6094794219999, -45.640750188, -45.721280011, -45.750911, -45.760415, -45.784442, -45.841785, -45.7250880359999, -22.969445783, -23.0081189859999, -23.035825965, -23.0336665749999, -23.0813072619999, -23.1162232689999, -23.134081506, -23.163502707, -23.1960316129999, -23.2379490069999, -23.1926139999999, -23.1286899999999, -23.1117169999999, -23.041192, -22.969445783))"
"98","805","3508603","35051","3513","list(c(-44.9277188729999, -44.9127680779999, -44.9208553999999, -44.8950564949999, -44.912740147, -44.97511897, -45.0173575909999, -45.0221880839999, -45.046097968, -45.069209144, -45.094953343, -45.1122482559999, -45.1015557269999, -45.1219989649999, -45.103862557, -45.084779392, -45.039248126, -45.0046396289999, -44.9898215109999, -44.940718482, -44.9277188729999, -22.6548660879999, -22.739687594, -22.751336029, -22.8445386509999, -22.855042517, -22.80803995, -22.750587523, -22.6986701339999, -22.6763204989999, 
-22.6763313889999, -22.6652990599999, -22.634701294, -22.610019141, -22.5823105169999, -22.562698939, -22.599001695, -22.597126336, -22.605861513, -22.639041055, -22.660237442, -22.6548660879999))"
"99","815","3508702","35030","3507","list(c(-46.5088899959999, -46.5229777019999, -46.511841052, -46.5244288769999, -46.5547234219999, -46.5646313399999, -46.614511465, -46.609949366, -46.6405779419999, -46.6944444549999, -46.726635334, -46.7601252109999, -46.762569379, -46.701553797, -46.72087722, -46.706508707, -46.676752027, -46.650594761, -46.616078178, -46.576513663, -46.557882196, -46.519052712, -46.5088899959999, -21.489127083, -21.529937864, -21.565379096, -21.6009587259999, -21.653433542, -21.6786793909999, -21.676516331, -21.6474922749999, 
-21.602252968, -21.6117425429999, -21.5770549989999, -21.5722345889999, -21.5478712409999, -21.5062126399999, -21.4736096679999, -21.446696507, -21.434119914, -21.43973392, -21.430251126, -21.426957182, -21.442657513, -21.4489531569999, -21.489127083))"
"100","826","3508801","35019","3504","list(c(-49.311492663, -49.331612545, -49.382546076, -49.40461977, -49.4142859469999, -49.431348708, -49.456545907, -49.546038927, -49.565645445, -49.610701231, -49.658562208, -49.6980749639999, -49.734178307, -49.771843465, -49.8093551589999, -49.7720852269999, -49.7555273149999, -49.7258804209999, -49.658786702, -49.629102438, -49.5736976759999, -49.5613248609999, -49.567829751, -49.517568765, -49.49649899, -49.4590938159999, -49.4454510589999, -49.4117214189999, -49.379042531, -49.328548123, -49.311492663, 
-21.617182472, -21.6515440489999, -21.669336851, -21.694677849, -21.7567806179999, -21.7793582259999, -21.7840200219999, -21.856471362, -21.8316157109999, -21.8705046059999, -21.860076423, -21.9076152129999, -21.9405531419999, -21.926990459, -21.890266267, -21.804372096, -21.799190465, -21.746139188, -21.7266655609999, -21.731495658, -21.7046070009999, -21.661788601, -21.6258813809999, -21.6023156709999, -21.5706089669999, -21.5470551679999, -21.5240684999999, -21.544434504, -21.534839065, -21.559037705, 
-21.617182472))"
"101","828","3508900","35036","3508","list(c(-51.1548441699999, -51.168231932, -51.185148125, -51.1722591549999, -51.190838399, -51.20778695, -51.265097189, -51.2886556559999, -51.266486229, -51.2648137049999, -51.2240349649999, -51.182476897, -51.1548441699999, -21.863409396, -21.9295498719999, -21.956059973, -21.994340117, -22.0113003289999, -22.068249647, -22.0674515499999, -22.044626788, -21.9315978299999, -21.885706059, -21.828824405, -21.8333482639999, -21.863409396))"
"102","837","3509007","35058","3515","list(c(-46.6701869999999, -46.654962053, -46.669751374, -46.700414, -46.7354569999999, -46.8229729999999, -46.823673991, -46.7811139999999, -46.752088, -46.743613, -46.6885609999999, -46.6701869999999, -23.3630959999999, -23.3955313079999, -23.418592965, -23.4224869999999, -23.388118, -23.401034, -23.330977197, -23.3489999999999, -23.326488, -23.35326, -23.3682939999999, -23.3630959999999))"
"103","839","3509106","35036","3508","list(c(-51.86001053, -51.842771634, -51.865235282, -51.8831982199999, -51.901491049, -51.8878655889999, -51.9146921719999, -51.9311660239999, -51.963473785, -52.002805747, -52.023081286, -52.038416, -52.059108, -52.088378, -52.1105689999999, -52.1439369999999, -52.125974766, -52.091250023, -52.0669579999999, -52.015462, -51.97752, -51.941076589, -51.880500806, -51.86001053, -21.580719906, -21.6122766939999, -21.672215594, -21.687131102, -21.7305171369999, -21.763504723, -21.822048039, -21.8258253399999, 
-21.906485598, -21.912367447, -21.948670122, -22.026935, -22.0298739999999, -21.9874429999999, -21.981169, -21.9984949999999, -21.881456294, -21.863478196, -21.8294519999999, -21.8016769999999, -21.766918, -21.547039098, -21.5814277109999, -21.580719906))"
"104","840","3509205","35057","3515","list(c(-46.838064, -46.823673991, -46.8229729999999, -46.8233104719999, -46.862815144, -46.867263, -46.928830257, -46.902342189, -46.9384562349999, -46.9379437379999, -46.901913271, -46.867464, -46.838064, -23.287844, -23.330977197, -23.401034, -23.422374528, -23.4195148919999, -23.4051509999999, -23.3875379149999, -23.3664316479999, -23.3478954349999, -23.3218533149999, -23.3075829209999, -23.2779389999999, -23.287844))"
"105","843","3509254","35055","3514","list(c(-48.128994803, -48.0966620199999, -48.095140796, -48.048051027, -48.0634728319999, -48.0956599909999, -48.127915167, -48.129860595, -48.157105513, -48.169469357, -48.211196909, -48.264055092, -48.2828026139999, -48.309551472, -48.2962673229999, -48.2899552379999, -48.3066171639999, -48.240472859, -48.225818588, -48.1616036149999, -48.128994803, -24.649284048, -24.670438362, -24.6863278769999, -24.7203538209999, -24.750142753, -24.7580957399999, -24.7961703089999, -24.838378017, -24.8478728329999, 
-24.8751255459999, -24.9073536609999, -24.894077669, -24.879128173, -24.824872511, -24.801215595, -24.7769837289999, -24.732444044, -24.6970481179999, -24.677652719, -24.6425778609999, -24.649284048))"
"106","847","3509304","35005","3501","list(c(-48.891703321, -48.842568162, -48.7969120239999, -48.744793826, -48.74408657, -48.785643485, -48.795590391, -48.8418715609999, -48.88329198, -48.907115608, -48.949086246, -48.920107447, -48.891703321, -20.823796084, -20.843410723, -20.835587457, -20.8398402729999, -20.894042955, -20.9340208519999, -20.935550712, -20.9130651, -20.9127047709999, -20.8922894479999, -20.8693273559999, -20.813281428, -20.823796084))"
"107","851","3509403","35015","3502","list(c(-47.308752372, -47.283020876, -47.2438536409999, -47.223283951, -47.189542799, -47.199850522, -47.231762937, -47.2123808969999, -47.2268319249999, -47.1918566369999, -47.214922585, -47.241321101, -47.2641954279999, -47.298131508, -47.3328699699999, -47.379748928, -47.415078298, -47.3684611379999, -47.387611196, -47.3786983919999, -47.404093991, -47.4206639139999, -47.452273616, -47.4782836479999, -47.4721598209999, -47.428596979, -47.388701719, -47.349774466, -47.308752372, -21.101874171, 
-21.1378376549999, -21.1593527489999, -21.2008375459999, -21.2122303309999, -21.2584911229999, -21.2674507799999, -21.2922701909999, -21.3412981819999, -21.3480148849999, -21.426994522, -21.443311469, -21.451316429, -21.4483303489999, -21.4147629299999, -21.395327051, -21.343209289, -21.2942481179999, -21.2740631639999, -21.2553719749999, -21.20972302, -21.2241739369999, -21.2218643859999, -21.205332144, -21.1833896549999, -21.153733206, -21.1377746489999, -21.1355234759999, -21.101874171))"
"108","892","3509452","35042","3511","list(c(-48.370926142, -48.366467723, -48.391019694, -48.407813276, -48.443124186, -48.458467931, -48.477875323, -48.506728763, -48.5349233909999, -48.520136426, -48.46952249, -48.414153831, -48.397938274, -48.396640325, -48.370926142, -23.63153177, -23.672834316, -23.687189922, -23.714635293, -23.695560842, -23.669772984, -23.609880753, -23.5487202959999, -23.5411391659999, -23.509327078, -23.5291571299999, -23.5348782679999, -23.576758174, -23.618171419, -23.63153177))"
"109","899","3509502","35032","3507","list(c(-46.858385025, -46.850675, -46.8241399999999, -46.8289829999999, -46.8644229999999, -46.878454, -46.8784889469999, -46.9396819999999, -46.950795, -46.9820999999999, -46.991617, -47.0289319999999, -47.0643566649999, -47.072243, -47.0485619999999, -47.088319, -47.1086109999999, -47.181678, -47.204489, -47.2331339999999, -47.2067289999999, -47.209897, -47.201835, -47.246767, -47.178591, -47.1573759999999, -47.1577079269999, -47.1636819999999, -47.119944, -47.095428, -47.101287124, -47.0690384339999, 
-46.966467, -46.9574249999999, -46.904928222, -46.8908025269999, -46.858385025, -22.83617721, -22.8766489999999, -22.8749829999999, -22.906425, -22.8987069999999, -22.927069, -22.9274597209999, -22.9279369999999, -22.9097459999999, -22.904198, -22.9281989999999, -22.9695589999999, -22.9920091989999, -23.0234659999999, -23.0513819999999, -23.055537, -23.0611919999999, -23.0299269999999, -23.031785, -23.007244, -22.995376, -22.9516859999999, -22.9300259999999, -22.909478, -22.911737, -22.8881989999999, 
-22.8608928199999, -22.8055269999999, -22.8102709999999, -22.7802359999999, -22.750415066, -22.7295694869999, -22.7453399999999, -22.7292249999999, -22.762843731, -22.8170707529999, -22.83617721))"
"110","923","3509601","35047","3512","list(c(-46.7111251819999, -46.704060404, -46.7437556949999, -46.7836859999999, -46.8025989999999, -46.8072569999999, -46.797016, -46.79916, -46.7864319949999, -46.7728578049999, -46.715346337, -46.7111251819999, -23.211457304, -23.252124062, -23.250279243, -23.2653779999999, -23.2571149999999, -23.2550909999999, -23.223713, -23.1879539999999, -23.1532344359999, -23.175450542, -23.1916656839999, -23.211457304))"
"111","936","3509700","35049","3513","list(c(-45.420353534, -45.3999858999999, -45.438811438, -45.538196565, -45.5797267029999, -45.6142515239999, -45.676313615, -45.65922094, -45.630680513, -45.5804083099999, -45.5249310149999, -45.48880049, -45.480377259, -45.420353534, -22.6211653129999, -22.6536802969999, -22.702656936, -22.768085519, -22.7769132779999, -22.797168375, -22.7875849019999, -22.738193349, -22.7308740029999, -22.652909853, -22.646874656, -22.628785224, -22.590489331, -22.6211653129999))"
"112","941","3509809","35039","3510","list(c(-50.069242694, -50.0607254079999, -50.026778684, -49.9995376909999, -49.981847084, -49.962561567, -49.9263114619999, -49.8878546399999, -49.89090278, -49.902187001, -49.973608354, -50.000536317, -50.010054784, -50.0231489189999, -50.078812628, -50.106324517, -50.0924134009999, -50.101244607, -50.1387738239999, -50.1192411919999, -50.087906963, -50.069242694, -22.4929926099999, -22.4989027729999, -22.511303917, -22.4976262009999, -22.530296654, -22.524468509, -22.540810214, -22.5254694189999, 
-22.655406033, -22.666612029, -22.687845712, -22.772004893, -22.7843042979999, -22.7503031259999, -22.6922275979999, -22.6807469829999, -22.641595703, -22.610429262, -22.573941041, -22.559327675, -22.490533929, -22.4929926099999))"
