;CITY;HDI;SCORE
14544;CRUZEIRO;0,788;2
14545;CUBATÃO;0,737;2
14546;CUNHA;0,684;3
14547;DESCALVADO;0,76;2
14548;DIADEMA;0,757;2
14549;DIRCE REIS;0,741;2
14550;DIVINOLÂNDIA;0,734;2
14551;DOBRADA;0,718;2
14552;DOIS CÓRREGOS;0,725;2
14553;DOLCINÓPOLIS;0,742;2
14554;DOURADO;0,738;2
14555;DRACENA;0,776;2
14556;DUARTINA;0,748;2
14557;DUMONT;0,744;2
14558;ECHAPORÃ;0,745;2
14559;ELDORADO;0,691;3
14560;ELIAS FAUSTO;0,695;3
14561;ELISIÁRIO;0,747;2
14562;EMBAÚBA;0,73;2
14563;EMBU;0,735;2
14564;EMBU-GUAÇU;0,749;2
14565;EMILIANÓPOLIS;0,727;2
14566;ENGENHEIRO COELHO;0,732;2
14567;ESPÍRITO SANTO DO PINHAL;0,787;2
14568;ESPÍRITO SANTO DO TURVO;0,696;3
14569;ESTRELA D'OESTE;0,76;2
14570;ESTRELA DO NORTE;0,74;2
14571;EUCLIDES DA CUNHA PAULISTA;0,704;2
14572;FARTURA;0,732;2
14573;FERNANDÓPOLIS;0,797;2
14574;FERNANDO PRESTES;0,758;2
14575;FERNÃO;0,703;2
14576;FERRAZ DE VASCONCELOS;0,738;2
14577;FLORA RICA;0,727;2
14578;FLOREAL;0,747;2
14579;FLÓRIDA PAULISTA;0,715;2
14580;FLORÍNIA;0,713;2
14581;FRANCA;0,78;2
14582;FRANCISCO MORATO;0,703;2
14583;FRANCO DA ROCHA;0,731;2
14584;GABRIEL MONTEIRO;0,763;2
14585;GÁLIA;0,709;2
14586;GARÇA;0,769;2
14587;GASTÃO VIDIGAL;0,723;2
14588;GAVIÃO PEIXOTO;0,719;2
14589;GENERAL SALGADO;0,747;2
14590;GETULINA;0,717;2
14591;GLICÉRIO;0,735;2
14592;GUAIÇARA;0,739;2
14593;GUAIMBÊ;0,728;2
14594;GUAÍRA;0,753;2
14595;GUAPIAÇU;0,725;2
14596;GUAPIARA;0,675;3
14597;GUARÁ;0,718;2
14598;GUARAÇAÍ;0,719;2
14599;GUARACI;0,737;2
14600;GUARANI D'OESTE;0,732;2
14601;GUARANTÃ;0,713;2
14602;GUARARAPES;0,763;2
14603;GUARAREMA;0,731;2
14604;GUARATINGUETÁ;0,798;2
14605;GUAREÍ;0,687;3
14606;GUARIBA;0,719;2
14607;GUARUJÁ;0,751;2
14608;GUARULHOS;0,763;2
14609;GUATAPARÁ;0,743;2
14610;GUZOLÂNDIA;0,697;3
14611;HERCULÂNDIA;0,727;2
14612;HOLAMBRA;0,793;2
14613;HORTOLÂNDIA;0,756;2
14614;IACANGA;0,745;2
14615;IACRI;0,733;2
14616;IARAS;0,674;3
14617;IBATÉ;0,703;2
14618;IBIRÁ;0,74;2
14619;IBIRAREMA;0,708;2
14620;IBITINGA;0,747;2
14621;IBIÚNA;0,71;2
14622;ICÉM;0,72;2
14623;IEPÊ;0,736;2
14624;IGARAÇU DO TIETÊ;0,727;2
14625;IGARAPAVA;0,768;2
14626;IGARATÁ;0,711;2
14627;IGUAPE;0,726;2
14628;ILHABELA;0,756;2
14629;ILHA COMPRIDA;0,725;2
14630;ILHA SOLTEIRA;0,812;1
14631;INDAIATUBA;0,788;2
14632;INDIANA;0,761;2
14633;INDIAPORÃ;0,751;2
14634;INÚBIA PAULISTA;0,759;2
14635;IPAUSSU;0,727;2
14636;IPERÓ;0,719;2
14637;IPEÚNA;0,753;2
